cluster,query,clicks,impressions,ctr,position
brand,calm beach,467,845,55.27%,2.64
brand,calmbeach,112,139,80.58%,1.57
brand,calm beach greece,33,42,78.57%,1.45
brand,calm beaches,16,20,80%,1.45
brand,calm beaches near me,15,33,45.45%,5.76
family-el,ευβοια παραλιες για παιδια,16,421,3.8%,6.62
family-el,καβαλα παραλιες για παιδια,15,108,13.89%,4.87
family-el,βορεια ευβοια παραλιες για παιδια,8,222,3.6%,4.3
family-el,νοτια ευβοια παραλιες για παιδια,7,128,5.47%,3.62
family-el,χαλκιδα παραλιες για παιδια,5,114,4.39%,8.28
family-el,ριο παραλιες για παιδια,3,136,2.21%,8.38
family-el,μυτιληνη παραλιες για παιδια,0,66,0%,11.05
family-el,παξοι παραλιες για παιδια,0,61,0%,10.36
family-el,σκοπελος παραλιες για παιδια,1,51,1.96%,12.14
family-el,σκυρος παραλιες για παιδια,2,40,5%,5.4
snorkeling-en,halkidiki snorkeling spots,10,31,32.26%,4.42
snorkeling-en,halkidiki snorkeling,5,70,7.14%,7.09
snorkeling-en,best snorkeling halkidiki,5,24,20.83%,3.46
snorkeling-en,snorkeling rhodes,1,113,0.88%,10.58
snorkeling-en,rhodes snorkeling,0,76,0%,10.21
snorkeling-en,best snorkeling rhodes,0,54,0%,8.85
snorkeling-en,rhodes snorkeling map,1,44,2.27%,7.73
snorkeling-en,snorkeling in rhodes,0,32,0%,12.69
snorkeling-en,snorkeling paros,0,61,0%,28.08
snorkeling-en,spiaggia snorkeling mykonos,0,59,0%,20.29
snorkeling-en,snorkeling mykonos,0,44,0%,27.98
snorkeling-en,naxos snorkeling,0,37,0%,12.03
snorkeling-en,snorkelen rhodos,0,19,0%,25.53
snorkeling-en,best snorkeling in greece,0,11,0%,41.45
beach-name,avali beach,3,948,0.32%,8.23
beach-name,avali beach lefkada,0,537,0%,7.51
beach-name,vrasidas beach,9,703,1.28%,9
beach-name,rovinia beach,0,519,0%,8.58
beach-name,καιρός δημήτρανι,1,386,0.26%,8.34
beach-name,κατσαδια λειψοι,0,274,0%,7.95
beach-name,gialos beach lefkada,0,261,0%,10.36
beach-name,kathisma beach,0,256,0%,9.93
beach-name,προσηλι,0,229,0%,10.06
beach-name,fyriplaka,0,211,0%,9.08
beach-name,desimi beach,1,210,0.48%,9.27
beach-name,melidoni beach kythira,1,162,0.62%,9.93
beach-name,κακολιμανο,1,147,0.68%,7.86
beach-name,plathiena beach,1,50,2%,11.34
webcam,σκοτινα καμερα,4,70,5.71%,6.46
webcam,καμερα σκοτινα,4,52,7.69%,6.29
webcam,live camera σκοτινα,3,41,7.32%,6.37
webcam,σκοτινα καμερα live,3,32,9.38%,5.41
webcam,preveli beach now,2,106,1.89%,8.08
webcam,preveli beach aktuell,3,41,7.32%,7.76
webcam,preveli beach webcam,0,28,0%,7.39
webcam,καμερα χιλιαδου,0,38,0%,9.61
webcam,χιλιαδου καμερα,0,32,0%,9.59
webcam,matala live,0,23,0%,8.91
webcam,falasarna live camera,1,27,3.7%,27
webcam,myrtos live camera,2,7,28.57%,4.57
webcam,kathisma beach live cam,2,3,66.67%,2.67
webcam,kalamitsi live camera,2,4,50%,6.25
wind-waves,beach conditions near me,5,15,33.33%,3.87
wind-waves,beach conditions today,2,12,16.67%,4.67
wind-waves,kimolos waves,0,63,0%,8.59
wind-waves,wellen rethymnon,0,37,0%,10.32
wind-waves,vento sifnos,0,23,0%,10.52
wind-waves,vento chania,0,20,0%,9.05
wind-waves,vent milos,2,19,10.53%,8.89
wind-waves,wind matala,0,17,0%,10.53
wind-waves,meltemi leros,0,16,0%,9.25
wind-waves,meltemi astypalaia,0,15,0%,9.07
wind-waves,waves greece,1,21,4.76%,7.19
wind-waves,που δεν εχει κυμα σημερα,0,11,0%,9.27
wind-waves,how to know if the beach is calm,2,9,22.22%,5.89
wind-waves,is it a good day to go to the beach today,0,10,0%,7.9
wind-waves,λευκαδα παραλιες χωρις κυμα,1,3,33.33%,1
wind-waves,beach radar,2,87,2.3%,5.95
sheltered-el,απανεμες παραλιες κιμωλος,4,21,19.05%,3.67
sheltered-el,απανεμες παραλιες κυθνος,3,13,23.08%,3.62
sheltered-el,κυθνος απανεμες παραλιες,2,6,33.33%,6.67
sheltered-el,απανεμες παραλιες σεριφος,0,10,0%,6.4
sheltered-el,απανεμες παραλιες ανδρος,0,10,0%,6.5
sunbeds,lefkada beaches with sunbeds,6,29,20.69%,6.79
sunbeds,αιγινα παραλιες οργανωμενες,4,98,4.08%,11.86
sunbeds,best beaches in lefkada with sunbeds,2,16,12.5%,7.19
sunbeds,sifnos beaches with sunbeds,2,11,18.18%,5.36
hidden,secret beaches zakynthos,2,15,13.33%,6.6
hidden,zakynthos hidden beaches,2,12,16.67%,8.08
hidden,quiet beaches zakynthos,2,9,22.22%,10.22
hidden,hidden beaches zakynthos,0,31,0%,8.45
hidden,κρυφες παραλιες ζακυνθου,0,16,0%,10.19
hidden,ερημικες παραλιες ευβοια,2,10,20%,5
nudist-el,παραλία γυμνιστών καβάλα,3,5,60%,2.2
nudist-el,παραλια γυμνιστων καβαλα,2,9,22.22%,4.78
region-hub,beach,0,1006,0%,12.03
region-hub,beach near me,0,329,0%,10.92
region-hub,preveza beaches,2,389,0.51%,11.98
region-hub,lemnos beaches,4,206,1.94%,10.48
region-hub,aegina beaches,1,201,0.5%,11.93
region-hub,patmos beaches,1,170,0.59%,10.45
region-hub,evia beaches,1,164,0.61%,9.79
region-hub,kavala beaches,0,83,0%,15.52
region-hub,alonissos beaches,0,93,0%,13.59
region-hub,leros beaches,0,87,0%,11.1
region-hub,παραλιες αργολιδας,0,50,0%,36.82
ai-followup,ναι,4,382,1.05%,2.92
ai-followup,si,1,25,4%,3.84
ai-followup,ja,1,22,4.55%,4.14
ai-followup,ja graag,1,2,50%,18
ai-followup,yes,2,11,18.18%,3.82
ai-followup,да,1,9,11.11%,3.44
ai-followup,yes check the forecast,1,1,100%,1
ai-followup,how can i check this online,1,1,100%,1
ai-followup,σήμερα εννοώ,1,1,100%,1
ai-followup,ακριβής τοποθεσία,1,1,100%,1
ai-followup,altri siti,1,1,100%,3
