Ημερομηνία,Κλικ,Εμφανίσεις,CTR,Θέση
2026-06-12,2,3,66.67%,1.3
2026-06-13,0,2,0%,1
2026-06-14,2,4,50%,1.5
2026-06-15,2,11,18.18%,1.5
2026-06-16,1,1,100%,2
2026-06-17,1,8,12.5%,4.9
2026-06-18,5,47,10.64%,8
2026-06-19,9,267,3.37%,9.5
2026-06-20,17,1024,1.66%,12.8
2026-06-21,17,1135,1.5%,12.4
2026-06-22,14,695,2.01%,11.7
2026-06-23,15,554,2.71%,11
2026-06-24,5,356,1.4%,13.6
2026-06-25,5,248,2.02%,16.2
2026-06-26,10,359,2.79%,11.6
2026-06-27,17,539,3.15%,9
2026-06-28,29,790,3.67%,9.8
2026-06-29,34,1005,3.38%,11.1
2026-06-30,41,1079,3.8%,12.8
2026-07-01,28,1188,2.36%,9.7
2026-07-02,53,1313,4.04%,10.9
2026-07-03,51,1558,3.27%,11
2026-07-04,60,1914,3.13%,10.4
2026-07-05,74,2240,3.3%,10.2
2026-07-06,62,1888,3.28%,15.3
2026-07-07,47,1444,3.25%,10.8
2026-07-08,50,1474,3.39%,10.9
2026-07-09,63,1447,4.35%,11.1
2026-07-10,38,1268,3%,10.7
2026-07-11,41,1474,2.78%,10.3
2026-07-12,66,1657,3.98%,9.4
2026-07-13,25,765,3.27%,9.7
2026-07-14,41,821,4.99%,11.1
2026-07-15,39,759,5.14%,9.4
2026-07-16,44,1163,3.78%,9.1
2026-07-17,49,1082,4.53%,9.5
2026-07-18,35,1021,3.43%,12.3
2026-07-19,37,976,3.79%,11.3
2026-07-20,42,840,5%,9.2
2026-07-21,39,833,4.68%,9.2
2026-07-22,58,1380,4.2%,8.5
2026-07-23,82,1849,4.43%,7.9
2026-07-24,86,1805,4.76%,8.2
2026-07-25,102,2109,4.84%,8.1
2026-07-26,99,2311,4.28%,8.2
2026-07-27,86,2157,3.99%,8.2
2026-07-28,103,2431,4.24%,8.3
2026-07-29,170,3225,5.27%,8
2026-07-30,216,4042,5.34%,7.6
2026-07-31,187,4363,4.29%,8.1
2026-08-01,173,4793,3.61%,7.8
2026-08-02,149,4588,3.25%,8.1
2026-08-03,152,3828,3.97%,8.5
2026-08-04,141,3858,3.65%,8.2
2026-08-05,144,4012,3.59%,7.8
2026-08-06,173,4083,4.24%,7.8
2026-08-07,146,3759,3.88%,8
2026-08-08,180,4739,3.8%,7.8
2026-08-09,276,5911,4.67%,8.1
2026-08-10,232,5685,4.08%,7.6
2026-08-11,212,5347,3.96%,7.7
2026-08-12,257,6848,3.75%,7.5
2026-08-13,416,11877,3.5%,7.5
2026-08-14,479,12588,3.81%,7.2
2026-08-15,436,11644,3.74%,7.4
2026-08-16,367,9946,3.69%,7.5
2026-08-17,262,7856,3.34%,7.7
2026-08-18,259,8180,3.17%,8.1
2026-08-19,273,8468,3.22%,7.8
2026-08-20,282,8351,3.38%,7.9
2026-08-21,277,8571,3.23%,7.9
2026-08-22,263,9172,2.87%,7.8
2026-08-23,365,10681,3.42%,7.8
2026-08-24,331,10169,3.25%,7.7
2026-08-25,314,10275,3.06%,8
2026-08-26,382,12297,3.11%,8
2026-08-27,443,15430,2.87%,8.1
2026-08-28,515,17760,2.9%,8
2026-08-29,595,19789,3.01%,8.3
2026-08-30,443,17737,2.5%,8.9
2026-08-31,385,16630,2.32%,8.6
2026-09-01,418,17592,2.38%,8.6
2026-09-02,389,17774,2.19%,9.5
2026-09-03,413,18400,2.24%,9.1
2026-09-04,444,19297,2.3%,9.5
2026-09-05,445,18485,2.41%,8.8
2026-09-06,373,18089,2.06%,8.5
2026-09-07,436,17452,2.5%,8.4
2026-09-08,424,17256,2.46%,8.4
2026-09-09,303,14032,2.16%,8.6
2026-09-10,269,12446,2.16%,8.2
2026-09-11,263,13438,1.96%,8.8
