Χώρα,Κλικ,Εμφανίσεις,CTR,Θέση
Ελλάδα,13372,365403,3.66%,8.19
Ιταλία,502,21824,2.3%,9.31
Γερμανία,251,16884,1.49%,10.84
Ηνωμένο Βασίλειο,231,28686,0.81%,8.28
Γαλλία,154,6667,2.31%,10.22
Ρουμανία,132,5564,2.37%,9.03
Κάτω Χώρες,110,13904,0.79%,7.67
Βουλγαρία,90,4494,2%,7.94
Ελβετία,81,3102,2.61%,10.83
Ηνωμένες Πολιτείες,78,19240,0.41%,8.98
Αυστρία,76,3267,2.33%,10.03
Σουηδία,71,1963,3.62%,8.51
Βέλγιο,61,1867,3.27%,8.05
Τουρκία,52,2855,1.82%,9.03
Σερβία,52,2565,2.03%,7.63
Ισπανία,45,1868,2.41%,8.87
Φινλανδία,44,912,4.82%,7.64
Τσεχία,39,1315,2.97%,7.43
Κύπρος,38,1784,2.13%,8.16
Πολωνία,32,1848,1.73%,8.25
Δανία,31,999,3.1%,8.53
Ουγγαρία,30,1569,1.91%,8.61
Ισραήλ,30,1284,2.34%,8.51
Αυστραλία,27,1690,1.6%,10.03
Νορβηγία,27,1026,2.63%,8.88
Σλοβενία,27,703,3.84%,7.86
Πρώην Γιουγκοσλαβική Δημοκρατία της Μακεδονίας,24,1788,1.34%,8.31
Καναδάς,24,1556,1.54%,8.71
Πορτογαλία,22,860,2.56%,7.5
Ιρλανδία,21,675,3.11%,8.3
Σλοβακία,15,747,2.01%,7.32
Αλβανία,10,1366,0.73%,8.76
Λουξεμβούργο,10,299,3.34%,7.05
Ινδία,8,647,1.24%,18.5
Μάλτα,8,305,2.62%,7.64
Ουκρανία,6,423,1.42%,7.14
Κροατία,5,450,1.11%,8.92
Μολδαβία,5,353,1.42%,7.61
Ισλανδία,5,177,2.82%,7.41
Σινγκαπούρη,5,82,6.1%,6.9
Λιθουανία,4,274,1.46%,8.56
Αίγυπτος,3,242,1.24%,7.02
Νότια Αφρική,3,170,1.76%,8.82
Εσθονία,3,135,2.22%,7.45
Βοσνία και Ερζεγοβίνη,3,126,2.38%,7.79
Λίβανος,3,113,2.65%,7.13
Λετονία,2,121,1.65%,8.17
Μαυροβούνιο,2,108,1.85%,7.72
Ηνωμένα Αραβικά Εμιράτα,1,934,0.11%,6.28
Βραζιλία,1,426,0.23%,10.25
Μαρόκο,1,181,0.55%,12.96
Χονγκ Κονγκ,1,166,0.6%,7.96
Σαουδική Αραβία,1,133,0.75%,10.5
Νέα Ζηλανδία,1,127,0.79%,8.55
Αργεντινή,1,116,0.86%,10.03
Μπαγκλαντές,1,97,1.03%,19.3
Μαλαισία,1,84,1.19%,16.39
Κίνα,1,61,1.64%,7.31
Ιορδανία,1,57,1.75%,10.93
Ταϊβάν,1,46,2.17%,7.93
Κατάρ,1,40,2.5%,7.83
Κένυα,1,34,2.94%,13
Τζέρσεϊ,1,32,3.12%,7.81
Λευκορωσία,1,30,3.33%,6.87
Ουρουγουάη,1,29,3.45%,7.9
Παλαιστίνη,1,16,6.25%,7.31
Λιχτενστάιν,1,15,6.67%,7.53
Μπαχάμες,1,13,7.69%,7.69
Μαδαγασκάρη,1,10,10%,6.5
Νίγηρας,1,7,14.29%,8.29
Γουατεμάλα,1,4,25%,11
Μακάου,1,1,100%,2
Φιλιππίνες,0,230,0%,22.57
Βιετνάμ,0,226,0%,20.49
Ινδονησία,0,203,0%,17.8
Κόσοβο,0,198,0%,7.95
Μεξικό,0,194,0%,14.06
