region,group,total,flagged,flagRatePct,food-claim-no-osm,organized-no-osm-no-source,osm-resort-not-claimed,parking-claim-no-osm-poi
east-macedonia-and-thrace-xanthi-mainland,mainland_thrace,3,1,33.3,0,0,1,0
south-aegean-kimolos,cyclades,17,2,11.8,0,0,2,0
attica-east-attica-mainland,attica,59,5,8.5,0,0,5,0
south-aegean-astypalaia,dodecanese,22,1,4.5,0,0,1,0
ionian-islands-paxos,ionian,25,1,4.0,0,0,1,0
peloponnese-korinthia-mainland,mainland_peloponnese,25,1,4.0,1,0,0,1
central-macedonia-halkidiki-mainland,mainland_macedonia,130,5,3.8,0,0,5,0
south-aegean-rhodes,dodecanese,61,2,3.3,0,0,2,0
west-greece-aetolia-acarnania-mainland,mainland_central,48,1,2.1,0,0,1,0
ionian-islands-kefalonia,ionian,77,1,1.3,0,0,1,0
crete-crete-chania,crete,88,1,1.1,0,0,1,0
attica-aegina,argosaronic,17,0,0.0,0,0,0,0
attica-agistri,argosaronic,6,0,0.0,0,0,0,0
attica-athens-area-mainland,attica,26,0,0.0,0,0,0,0
attica-hydra,argosaronic,8,0,0.0,0,0,0,0
attica-kythira,ionian,42,0,0.0,0,0,0,0
attica-methana,argosaronic,4,0,0.0,0,0,0,0
attica-piraeus-area,attica,5,0,0.0,0,0,0,0
attica-poros,argosaronic,11,0,0.0,0,0,0,0
attica-salamina,argosaronic,10,0,0.0,0,0,0,0
attica-spetses,argosaronic,12,0,0.0,0,0,0,0
attica-west-attica-mainland,attica,6,0,0.0,0,0,0,0
central-greece-evia,euboea,123,0,0.0,0,0,0,0
central-greece-fokida-mainland,mainland_central,20,0,0.0,0,0,0,0
central-greece-fthiotida-mainland,mainland_central,18,0,0.0,0,0,0,0
central-greece-skyros,sporades,21,0,0.0,0,0,0,0
central-greece-viotia-mainland,mainland_central,8,0,0.0,0,0,0,0
central-macedonia-pieria-mainland,mainland_macedonia,9,0,0.0,0,0,0,0
central-macedonia-thessaloniki-area,mainland_macedonia,16,0,0.0,0,0,0,0
crete-crete-heraklion,crete,53,0,0.0,0,0,0,0
crete-crete-lasithi,crete,60,0,0.0,0,0,0,0
crete-crete-rethymno,crete,47,0,0.0,0,0,0,0
crete-gavdos,crete,9,0,0.0,0,0,0,0
east-macedonia-and-thrace-evros-mainland,mainland_thrace,4,0,0.0,0,0,0,0
east-macedonia-and-thrace-kavala-mainland,mainland_macedonia,17,0,0.0,0,0,0,0
east-macedonia-and-thrace-rodopi-mainland,mainland_thrace,6,0,0.0,0,0,0,0
east-macedonia-and-thrace-samothraki,north_aegean,3,0,0.0,0,0,0,0
east-macedonia-and-thrace-thasos,mainland_thrace,58,0,0.0,0,0,0,0
epirus-arta-mainland,mainland_epirus,2,0,0.0,0,0,0,0
epirus-preveza-mainland,mainland_epirus,26,0,0.0,0,0,0,0
epirus-thesprotia-mainland,mainland_epirus,39,0,0.0,0,0,0,0
ionian-islands-antipaxos,ionian,14,0,0.0,0,0,0,0
ionian-islands-corfu,ionian,105,0,0.0,0,0,0,0
ionian-islands-erikoussa,ionian,2,0,0.0,0,0,0,0
ionian-islands-ithaca,ionian,25,0,0.0,0,0,0,0
ionian-islands-lefkada,ionian,33,0,0.0,0,0,0,0
ionian-islands-mathraki,ionian,1,0,0.0,0,0,0,0
