region,group,id,name,organized,claimsFood,claimsSunbeds,hasOfficialSource,audited,nearestFoodM,nearestResortM,poiCount,flags
attica-aegina,argosaronic,80,Paralia Vagias,true,true,false,true,true,155,,4,
attica-aegina,argosaronic,81,Agia Marina,true,true,true,true,true,114,,16,
attica-aegina,argosaronic,82,Aiginitissa,true,true,true,true,true,259,,1,
attica-aegina,argosaronic,83,Avra,true,true,false,true,true,62,0,56,
attica-aegina,argosaronic,84,Votsaloti Paralia,false,false,false,true,true,130,,3,
attica-aegina,argosaronic,85,Klidi,true,true,true,true,true,,,0,
attica-aegina,argosaronic,86,Loutra,true,true,true,true,true,54,,15,
attica-aegina,argosaronic,87,Paralia Zinovi,false,false,false,true,true,384,,2,
attica-aegina,argosaronic,88,Paralia Kamares,true,true,false,true,true,205,,2,
attica-aegina,argosaronic,89,Paralia Kolona,true,true,true,true,true,422,373,36,
attica-aegina,argosaronic,90,Paralia Marathona A,false,true,false,true,true,28,28,12,
attica-aegina,argosaronic,91,Paralia Marathona V,true,true,true,true,true,72,651,12,
attica-aegina,argosaronic,92,Paralia Sarpa,true,true,true,true,true,,,1,
attica-aegina,argosaronic,93,Tourlos,false,false,false,true,true,,,0,
attica-aegina,argosaronic,94,Souvala,false,true,false,true,true,39,,15,
attica-aegina,argosaronic,3022,Aigina Marathonas,false,false,false,true,true,89,131,12,
attica-aegina,argosaronic,3024,Aigina Ag. Vasilios,false,false,false,true,true,440,,2,
attica-agistri,argosaronic,95,Aponisos,true,true,true,true,true,39,,4,
attica-agistri,argosaronic,96,Dragonera,true,true,true,true,true,41,,1,
attica-agistri,argosaronic,97,Xekofti,false,false,false,true,true,467,,4,
attica-agistri,argosaronic,98,Paralia Megalochoriou,true,true,true,true,true,140,,14,
attica-agistri,argosaronic,99,Skliri,false,false,false,true,true,126,,5,
attica-agistri,argosaronic,100,Chalikiada,false,false,false,true,true,437,,2,
attica-athens-area-mainland,attica,0,Paralia Flisvou,true,false,false,true,true,110,,60,
attica-athens-area-mainland,attica,1,Palmyra,true,false,false,true,true,236,,49,
attica-athens-area-mainland,attica,2,Paralia Bati,false,true,false,true,true,373,,46,
attica-athens-area-mainland,attica,3,Paralia Edem,false,true,false,true,true,175,,28,
attica-athens-area-mainland,attica,4,A' Plaz Alimou «Stolidi»,true,true,true,true,true,40,,77,
attica-athens-area-mainland,attica,5,Akti tou Iliou,true,true,true,true,true,149,,83,
attica-athens-area-mainland,attica,6,Agios Kosmas,true,false,true,true,true,,,1,
attica-athens-area-mainland,attica,7,Paralia Agiou Alexandrou,false,false,false,true,true,,,4,
attica-athens-area-mainland,attica,8,Paralia Glyfadas Akti A,false,false,false,true,true,227,,9,
attica-athens-area-mainland,attica,9,Paralia Glyfadas Akti V,false,false,false,true,true,246,,17,
attica-athens-area-mainland,attica,10,Paralia Glyfadas Akti G,true,false,false,true,true,279,,48,
attica-athens-area-mainland,attica,11,Paralia Glyfadas Akti D,true,true,true,true,true,41,,131,
attica-athens-area-mainland,attica,12,Paralia Astera Glyfadas,true,true,true,true,true,237,,109,
attica-athens-area-mainland,attica,13,A' Plaz Voulas,true,true,true,true,true,19,,11,
attica-athens-area-mainland,attica,14,V' plaz Voulas,false,true,false,true,true,648,572,28,
attica-athens-area-mainland,attica,15,Mikro Kavouri,false,true,false,true,true,212,103,20,
attica-athens-area-mainland,attica,16,Paralia Varkizas,true,true,true,true,true,240,447,22,
attica-athens-area-mainland,attica,17,Megalo Kavouri,false,true,false,true,true,111,,7,
attica-athens-area-mainland,attica,18,Zen Beach / Niriides,true,true,true,true,true,30,,11,
attica-athens-area-mainland,attica,19,Astir Beach / Asteras Vouliagmenis,true,true,true,true,true,142,,15,
attica-athens-area-mainland,attica,20,Limni Vouliagmenis,true,false,true,true,true,41,0,21,
attica-athens-area-mainland,attica,21,Panagitsa i Dytissa,false,false,false,true,true,327,547,20,
attica-athens-area-mainland,attica,22,Limanakia Vouliagmenis,false,true,false,true,true,315,,9,
attica-athens-area-mainland,attica,23,Limanakia Vouliagmenis Gymniston,false,false,false,true,true,703,,4,
attica-athens-area-mainland,attica,24,Nisida Fleves,false,false,false,true,true,,,0,
attica-athens-area-mainland,attica,3025,Alimos Loutra,false,false,false,true,true,45,,56,
attica-east-attica-mainland,attica,25,Paralia Agrilezas,false,false,false,true,true,,,0,
attica-east-attica-mainland,attica,26,Paralia Akrotiriou,false,false,false,true,true,,,2,
attica-east-attica-mainland,attica,27,Paralia Agias Paraskevis,false,false,false,true,true,,,0,
attica-east-attica-mainland,attica,28,Paralia Agiou Konstantinou,false,false,false,true,true,,,0,
attica-east-attica-mainland,attica,29,Paralia Agkona,false,false,false,true,true,265,,1,
attica-east-attica-mainland,attica,30,Mikro Sesi,false,false,false,true,true,46,,3,
attica-east-attica-mainland,attica,31,Theretro Axiomatikon Navtikou,false,false,false,true,true,136,0,20,osm-resort-not-claimed
attica-east-attica-mainland,attica,32,Paralia Schinia,true,true,true,true,true,679,,2,
attica-east-attica-mainland,attica,33,Paralia Marathona,true,true,true,true,true,63,,13,
attica-east-attica-mainland,attica,34,Paralia Zoumperi,true,true,true,true,true,167,,8,
attica-east-attica-mainland,attica,35,Ormos Lidaki,false,false,false,true,true,420,,84,
attica-east-attica-mainland,attica,36,Plaz Rafinas,false,true,false,true,true,192,,88,
attica-east-attica-mainland,attica,37,Paralia Artemidas,true,true,true,true,true,122,56,25,
