beachId,region,beach,campsite,distance_m,website
13,"Attica","Α' Πλαζ Βούλας","Αυτοδιαχειριζόμενο Κάμπινγκ Βούλας",225,""
74,"Attica","Ασημάκη","Camping Bacchus",273,"https://www.campingbacchus.gr/"
144,"Attica","Καψάλι","Δημοτικό Κάμπινγκ Καψαλίου",241,"https://www.kythira.info/en/camping/"
146,"Attica","Καψάλι Πίσω Γιαλός","Δημοτικό Κάμπινγκ Καψαλίου",410,"https://www.kythira.info/en/camping/"
3005,"Attica","Κύθηρα Καψάλι","Δημοτικό Κάμπινγκ Καψαλίου",671,"https://www.kythira.info/en/camping/"
147,"Attica","Κυριακουλου","Δημοτικό Κάμπινγκ Καψαλίου",1559,"https://www.kythira.info/en/camping/"
22,"Attica","Λιμανάκια Βουλιαγμένης","Camping Βάρκιζας",841,""
23,"Attica","Λιμανάκια Βουλιαγμένης Γυμνιστών","Camping Βάρκιζας",713,""
20,"Attica","Λίμνη Βουλιαγμένης","Camping Βάρκιζας",1258,""
21,"Attica","Παναγίτσα η Δύτισσα","Camping Βάρκιζας",1198,""
12,"Attica","Παραλία Αστέρα Γλυφάδας","Αυτοδιαχειριζόμενο Κάμπινγκ Βούλας",652,""
16,"Attica","Παραλία Βάρκιζας","Camping Βάρκιζας",1807,""
9,"Attica","Παραλία Γλυφάδας Ακτή Β","Αυτοδιαχειριζόμενο Κάμπινγκ Βούλας",2231,""
10,"Attica","Παραλία Γλυφάδας Ακτή Γ","Αυτοδιαχειριζόμενο Κάμπινγκ Βούλας",1669,""
11,"Attica","Παραλία Γλυφάδας Ακτή Δ","Αυτοδιαχειριζόμενο Κάμπινγκ Βούλας",1026,""
33,"Attica","Παραλία Μαραθώνα","Octopus",2022,"http://ramnous.gr/"
145,"Attica","Παραλία Σπαραγγάριο","Δημοτικό Κάμπινγκ Καψαλίου",633,"https://www.kythira.info/en/camping/"
72,"Attica","Πασά","Camping Bacchus",517,"https://www.campingbacchus.gr/"
