field,count,percent
mapCoordinates.confidence,1,0
mapCoordinates.lat,1,0
mapCoordinates.lon,1,0
mapCoordinates.notes,1,0
mapCoordinates.source,1,0
mapCoordinates.sourceUrl,1,0
metadata.coordinatesNote,1,0
metadata.coordinatesSource,1,0
metadata.mapCoordinates.confidence,1,0
metadata.mapCoordinates.lat,1,0
metadata.mapCoordinates.lon,1,0
metadata.mapCoordinates.notes,1,0
metadata.mapCoordinates.source,1,0
metadata.mapCoordinates.sourceUrl,1,0
metadata.officialWarningOverride,1,0
metadata.officialWarningReason,1,0
metadata.environment.familyFriendly,2,0.1
metadata.environment.notes,2,0.1
metadata.environment.quiet,2,0.1
metadata.environment.remote,2,0.1
metadata.orientation.protectedFrom,4,0.1
metadata.paidEntry.notes,4,0.1
metadata.paidEntry.priceText,4,0.1
metadata.paidEntry.region,4,0.1
metadata.terrain.notes,4,0.1
orientation.protectedFrom,4,0.1
paidEntry.notes,4,0.1
paidEntry.priceText,4,0.1
paidEntry.region,4,0.1
metadata.paidEntry.match.officialNameEn,7,0.2
metadata.paidEntry.osmUrl,7,0.2
metadata.paidEntry.sourceUrls,5,0.2
paidEntry.match.officialNameEn,7,0.2
paidEntry.osmUrl,7,0.2
paidEntry.sourceUrls,5,0.2
metadata.paidEntry.confidence,11,0.4
metadata.paidEntry.kind,11,0.4
metadata.paidEntry.match.matchMethod,11,0.4
metadata.paidEntry.match.matchScore,11,0.4
metadata.paidEntry.match.officialNameGr,11,0.4
metadata.paidEntry.needsVerification,11,0.4
metadata.paidEntry.paid,11,0.4
metadata.paidEntry.source,11,0.4
metadata.paidEntry.verifiedAt,11,0.4
paidEntry.confidence,11,0.4
paidEntry.kind,11,0.4
paidEntry.match.matchMethod,11,0.4
paidEntry.match.matchScore,11,0.4
paidEntry.match.officialNameGr,11,0.4
paidEntry.needsVerification,11,0.4
paidEntry.paid,11,0.4
paidEntry.source,11,0.4
paidEntry.verifiedAt,11,0.4
surfMonths,10,0.4
metadata.confidenceBatch,27,0.9
metadata.seatrac.notes,27,0.9
metadata.access.roadSurfaceUnverified,40,1.4
metadata.googleMapsNavigation.reason,61,2.1
metadata.activities.snorkeling,69,2.4
metadata.activities.surfing,112,3.9
