beachName,beachNameEl,imageStatus,confidence,source,license,needsHumanReview,fileTitle,sourcePageUrl,imageUrl,author,searchQueryUsed,matchReason
Achivadolimni,Αχιβαδολίμνη,missing,0,local_placeholder,unknown,true,,,,,Αχιβαδολίμνη Milos,No compatible beach-specific image candidate reached confidence threshold.
Agia Kyriaki,Αγία Κυριακή,verified,0.96,wikimedia_commons,CC BY-SA 4.0,false,Milossouth.JPG,https://commons.wikimedia.org/wiki/File:Milossouth.JPG,https://upload.wikimedia.org/wikipedia/commons/a/a8/Milossouth.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Vihou World,Agia Kyriaki Milos,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons
Agios Dimitrios,Άγιος Δημήτριος,missing,0,local_placeholder,unknown,true,,,,,Άγιος Δημήτριος Milos,No compatible beach-specific image candidate reached confidence threshold.
Agios Ioannis,Άγιος Ιωάννης,missing,0,local_placeholder,unknown,true,,,,,Άγιος Ιωάννης Milos,No compatible beach-specific image candidate reached confidence threshold.
Agios Sostis,Άγιος Σώστης,missing,0,local_placeholder,unknown,true,,,,,Agios Sostis Milos,exact beach name match; license accepted for commercial app use; usable image dimensions; preferred source: Wikimedia Commons; penalty: another island/place mentioned; capped: no beach/coast/sea term; capped: exact name but no Milos match
Ammoudaraki,Αμμουδαράκι,missing,0,local_placeholder,unknown,true,,,,,Αμμουδαράκι Milos,No compatible beach-specific image candidate reached confidence threshold.
Fatourena,Φατούρενα,missing,0,local_placeholder,unknown,true,,,,,Φατούρενα Milos,No compatible beach-specific image candidate reached confidence threshold.
Fyriplaka,Φυριπλάκα,candidate,0.69,wikimedia_commons,CC BY 3.0,true,Firiplaka beach.jpg,https://commons.wikimedia.org/wiki/File:Firiplaka_beach.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Firiplaka_beach.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Agisfere at Greek Wikipedia,Φυριπλάκα Milos,exact beach name match; beach/coast/sea term present; license accepted for commercial app use; usable image dimensions; preferred source: Wikimedia Commons; capped: exact name but no Milos match
Fyrlingos,Φυρλίνγκος,candidate,0.54,wikimedia_commons,CC BY-SA 4.0,true,"Fyrlinkos beach, Milos, 152795.jpg","https://commons.wikimedia.org/wiki/File:Fyrlinkos_beach,_Milos,_152795.jpg",https://upload.wikimedia.org/wikipedia/commons/3/3b/Fyrlinkos_beach%2C_Milos%2C_152795.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Zde,Fyrlingos Milos,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons; capped: no exact beach name match
Fyropotamos,Φυροπόταμος,verified,0.96,wikimedia_commons,Public Domain,false,Φυροπόταμος.JPG,https://commons.wikimedia.org/wiki/File:%CE%A6%CF%85%CF%81%CE%BF%CF%80%CF%8C%CF%84%CE%B1%CE%BC%CE%BF%CF%82.JPG,https://upload.wikimedia.org/wikipedia/commons/1/1b/%CE%A6%CF%85%CF%81%CE%BF%CF%80%CF%8C%CF%84%CE%B1%CE%BC%CE%BF%CF%82.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Nieftaxia / Nieftaxia at Greek Wikipedia,Φυροπόταμος Milos,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons
Gerania,Γερανιά,missing,0,local_placeholder,unknown,true,,,,,Γερανιά Milos,No compatible beach-specific image candidate reached confidence threshold.
Gerodas,Γέροντας,missing,0,local_placeholder,unknown,true,,,,,Γέροντας Milos,No compatible beach-specific image candidate reached confidence threshold.
Kabanes,Καμπάνες,missing,0,local_placeholder,unknown,true,,,,,Καμπάνες Milos,No compatible beach-specific image candidate reached confidence threshold.
Kalamos,Κάλαμος,missing,0,local_placeholder,unknown,true,,,,,Κάλαμος Milos,No compatible beach-specific image candidate reached confidence threshold.
Kapros,Κάπρος,missing,0,local_placeholder,unknown,true,,,,,Κάπρος Milos,No compatible beach-specific image candidate reached confidence threshold.
Katergo,Κάτεργο,missing,0,local_placeholder,unknown,true,,,,,Κάτεργο Milos,No compatible beach-specific image candidate reached confidence threshold.
Kipi,Κήποι,missing,0,local_placeholder,unknown,true,,,,,Kipi Milos,Milos match; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match
