beachId,beachName,missingReason,suggestedSearchQueries,notes
1731,Achivadolimni,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Wikimedia Commons: Achivadolimni Milos beach | Wikimedia Commons: Hivadolimni Milos beach | Wikimedia Commons: Chivadolimni Milos beach | Wikimedia Commons: Αχιβαδολίμνη Milos beach | Openverse: Achivadolimni Milos beach | Openverse: Hivadolimni Milos beach | Openverse: Chivadolimni Milos beach | Openverse: Αχιβαδολίμνη Milos beach | Pixabay: Achivadolimni Milos beach | Pixabay: Hivadolimni Milos beach | Pixabay: Chivadolimni Milos beach | Pixabay: Αχιβαδολίμνη Milos beach | Αχιβαδολίμνη Milos | Achivadolimni Milos | Hivadolimni Milos | Chivadolimni Milos | Paralia Achivadolimni Milos,"Use a manual override only when image URL, thumbnail URL, source page, author, license URL, and commercial-use permission are all clear."
1726,Agios Dimitrios,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Wikimedia Commons: Agios Dimitrios Milos beach | Wikimedia Commons: Άγιος Δημήτριος Milos beach | Openverse: Agios Dimitrios Milos beach | Openverse: Άγιος Δημήτριος Milos beach | Pixabay: Agios Dimitrios Milos beach | Pixabay: Άγιος Δημήτριος Milos beach | Άγιος Δημήτριος Milos | Agios Dimitrios Milos | Paralia Agios Dimitrios Milos,"Use a manual override only when image URL, thumbnail URL, source page, author, license URL, and commercial-use permission are all clear."
1727,Agios Ioannis,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Wikimedia Commons: Agios Ioannis Milos beach | Wikimedia Commons: Άγιος Ιωάννης Milos beach | Openverse: Agios Ioannis Milos beach | Openverse: Άγιος Ιωάννης Milos beach | Pixabay: Agios Ioannis Milos beach | Pixabay: Άγιος Ιωάννης Milos beach | Άγιος Ιωάννης Milos | Agios Ioannis Milos | Paralia Agios Ioannis Milos,"Use a manual override only when image URL, thumbnail URL, source page, author, license URL, and commercial-use permission are all clear."
1728,Agios Sostis,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Wikimedia Commons: Agios Sostis Milos beach | Wikimedia Commons: Άγιος Σώστης Milos beach | Openverse: Agios Sostis Milos beach | Openverse: Άγιος Σώστης Milos beach | Pixabay: Agios Sostis Milos beach | Pixabay: Άγιος Σώστης Milos beach | Άγιος Σώστης Milos | Agios Sostis Milos | Paralia Agios Sostis Milos,"Use a manual override only when image URL, thumbnail URL, source page, author, license URL, and commercial-use permission are all clear."
1730,Ammoudaraki,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Wikimedia Commons: Ammoudaraki Milos beach | Wikimedia Commons: Ammoudaraki beach Milos beach | Openverse: Ammoudaraki Milos beach | Openverse: Ammoudaraki beach Milos beach | Pixabay: Ammoudaraki Milos beach | Pixabay: Ammoudaraki beach Milos beach | Αμμουδαράκι Milos | Ammoudaraki Milos | Ammoudaraki beach Milos | Paralia Ammoudaraki Milos,"Use a manual override only when image URL, thumbnail URL, source page, author, license URL, and commercial-use permission are all clear."
1754,Fatoyrena,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Wikimedia Commons: Fatoyrena Milos beach | Wikimedia Commons: Fatourena Milos beach | Wikimedia Commons: Φατούρενα Milos beach | Openverse: Fatoyrena Milos beach | Openverse: Fatourena Milos beach | Openverse: Φατούρενα Milos beach | Pixabay: Fatoyrena Milos beach | Pixabay: Fatourena Milos beach | Pixabay: Φατούρενα Milos beach | Φατούρενα Milos | Fatoyrena Milos | Fatourena Milos | Paralia Fatoyrena Milos,"Use a manual override only when image URL, thumbnail URL, source page, author, license URL, and commercial-use permission are all clear."
1733,Gerania,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Wikimedia Commons: Gerania Milos beach | Openverse: Gerania Milos beach | Pixabay: Gerania Milos beach | Γερανιά Milos | Gerania Milos | Paralia Gerania Milos,"Use a manual override only when image URL, thumbnail URL, source page, author, license URL, and commercial-use permission are all clear."
1735,Kalamos,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Wikimedia Commons: Kalamos Milos beach | Wikimedia Commons: Κάλαμος Milos beach | Openverse: Kalamos Milos beach | Openverse: Κάλαμος Milos beach | Pixabay: Kalamos Milos beach | Pixabay: Κάλαμος Milos beach | Κάλαμος Milos | Kalamos Milos | Paralia Kalamos Milos,"Use a manual override only when image URL, thumbnail URL, source page, author, license URL, and commercial-use permission are all clear."
1739,Kampanes,Milos match; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons; capped: metadata suggests private people may be the main subject; capped: metadata suggests logo/brand risk; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match,Wikimedia Commons: Kampanes Milos beach | Wikimedia Commons: Καμπάνες Milos beach | Openverse: Kampanes Milos beach | Openverse: Καμπάνες Milos beach | Pixabay: Kampanes Milos beach | Pixabay: Καμπάνες Milos beach | Καμπάνες Milos | Kampanes Milos | Kabanes Milos | Paralia Kampanes Milos,"Use a manual override only when image URL, thumbnail URL, source page, author, license URL, and commercial-use permission are all clear."
1736,Kapros,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Wikimedia Commons: Kapros Milos beach | Wikimedia Commons: Κάπρος Milos beach | Openverse: Kapros Milos beach | Openverse: Κάπρος Milos beach | Pixabay: Kapros Milos beach | Pixabay: Κάπρος Milos beach | Κάπρος Milos | Kapros Milos | Paralia Kapros Milos,"Use a manual override only when image URL, thumbnail URL, source page, author, license URL, and commercial-use permission are all clear."
1737,Katergo,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Wikimedia Commons: Katergo Milos beach | Wikimedia Commons: Katergo beach Milos beach | Wikimedia Commons: Κάτεργο Milos beach | Openverse: Katergo Milos beach | Openverse: Katergo beach Milos beach | Openverse: Κάτεργο Milos beach | Pixabay: Katergo Milos beach | Pixabay: Katergo beach Milos beach | Pixabay: Κάτεργο Milos beach | Κάτεργο Milos | Katergo Milos | Katergo beach Milos | Paralia Katergo Milos,"Use a manual override only when image URL, thumbnail URL, source page, author, license URL, and commercial-use permission are all clear."
