beachId,beachName,previousStatus,newStatus,confidence,source,license,author,sourcePageUrl,imageUrl,thumbnailUrl,matchReason,searchQueryUsed,needsHumanReview
1731,Achivadolimni,missing,missing,0,local_placeholder,unknown,,,,,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Αχιβαδολίμνη Milos,true
1729,Agia Kyriaki,verified,verified,0.96,wikimedia_commons,CC BY-SA 4.0,Vihou World,https://commons.wikimedia.org/wiki/File:Milossouth.JPG,https://upload.wikimedia.org/wikipedia/commons/a/a8/Milossouth.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Milossouth.JPG/960px-Milossouth.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons,Agia Kyriaki Milos,false
1726,Agios Dimitrios,missing,missing,0,local_placeholder,unknown,,,,,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Άγιος Δημήτριος Milos,true
1727,Agios Ioannis,missing,missing,0,local_placeholder,unknown,,,,,Milos match; license accepted for commercial app use; good image dimensions; capped: file title describes non-beach context; capped: no exact beach name and no beach/coast/sea term; capped: no exact beach name match; capped: stock photo lacks exact beach name and beach title context,Άγιος Ιωάννης Milos,true
1728,Agios Sostis,missing,missing,0,local_placeholder,unknown,,,,,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Άγιος Σώστης Milos,true
1730,Ammoudaraki,missing,missing,0,local_placeholder,unknown,,,,,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Αμμουδαράκι Milos,true
1754,Fatoyrena,missing,missing,0,local_placeholder,unknown,,,,,Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; capped: metadata suggests private people may be the main subject; capped: no exact beach name match,Φατούρενα Milos,true
1755,Fyriplaka,verified,verified,0.96,wikimedia_commons,CC BY 2.0,dronepicr,"https://commons.wikimedia.org/wiki/File:Aerial_view_of_Paralia_Firiplaka_on_Milos_Island,_Greece.jpg",https://upload.wikimedia.org/wikipedia/commons/5/58/Aerial_view_of_Paralia_Firiplaka_on_Milos_Island%2C_Greece.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Aerial_view_of_Paralia_Firiplaka_on_Milos_Island%2C_Greece.jpg/960px-Aerial_view_of_Paralia_Firiplaka_on_Milos_Island%2C_Greece.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons; specific beach alias match; preferred verified Commons file match,Φυριπλάκα Milos,false
1756,Fyrlingkos,verified,verified,0.96,wikimedia_commons,CC BY-SA 4.0,Zde,"https://commons.wikimedia.org/wiki/File:Fyrlinkos_beach,_Milos,_152795.jpg",https://upload.wikimedia.org/wikipedia/commons/3/3b/Fyrlinkos_beach%2C_Milos%2C_152795.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Fyrlinkos_beach%2C_Milos%2C_152795.jpg/960px-Fyrlinkos_beach%2C_Milos%2C_152795.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons,Fyrlingos Milos,false
1757,Fyropotamos,verified,verified,0.96,wikimedia_commons,Public Domain,Nieftaxia / Nieftaxia at Greek Wikipedia,https://commons.wikimedia.org/wiki/File:%CE%A6%CF%85%CF%81%CE%BF%CF%80%CF%8C%CF%84%CE%B1%CE%BC%CE%BF%CF%82.JPG,https://upload.wikimedia.org/wikipedia/commons/1/1b/%CE%A6%CF%85%CF%81%CE%BF%CF%80%CF%8C%CF%84%CE%B1%CE%BC%CE%BF%CF%82.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/%CE%A6%CF%85%CF%81%CE%BF%CF%80%CF%8C%CF%84%CE%B1%CE%BC%CE%BF%CF%82.JPG/960px-%CE%A6%CF%85%CF%81%CE%BF%CF%80%CF%8C%CF%84%CE%B1%CE%BC%CE%BF%CF%82.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,exact beach name match; Milos match; beach/coast/sea term present; license accepted for commercial app use; good image dimensions; preferred source: Wikimedia Commons,Φυροπόταμος Milos,false
