region,prefecture,place,index,name,beforeAccess,afterAccess,beforeConfidence,afterConfidence,beforeOrganized,afterOrganized,beforeSourceUrlCount,afterSourceUrlCount,actions
Attica,Central Athens,Athens area (mainland),1,Παλμύρα,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,Central Athens,Athens area (mainland),2,Παραλία Μπάτη,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:4|added_organized_downgrade_note
Attica,Central Athens,Athens area (mainland),3,Παραλία Έδεμ,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:4|added_organized_downgrade_note
Attica,Central Athens,Athens area (mainland),6,Άγιος Κοσμάς,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,Central Athens,Athens area (mainland),7,Παραλία Αγίου Αλεξάνδρου,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,Central Athens,Athens area (mainland),8,Παραλία Γλυφάδας Ακτή Α,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:3|added_organized_downgrade_note
Attica,Central Athens,Athens area (mainland),9,Παραλία Γλυφάδας Ακτή Β,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:3|added_organized_downgrade_note
Attica,Central Athens,Athens area (mainland),10,Παραλία Γλυφάδας Ακτή Γ,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:3|added_organized_downgrade_note
Attica,Central Athens,Athens area (mainland),11,Παραλία Γλυφάδας Ακτή Δ,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,Central Athens,Athens area (mainland),14,Β' πλαζ Βούλας,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,Central Athens,Athens area (mainland),15,Μικρό Καβούρι,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,Central Athens,Athens area (mainland),17,Μεγάλο Καβούρι,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,Central Athens,Athens area (mainland),20,Λίμνη Βουλιαγμένης,asphalt_road,asphalt_road,low,low,true,false,0,0,organized:true->false|removed_organized_amenities:4|added_organized_downgrade_note
Attica,Central Athens,Athens area (mainland),21,Παναγίτσα η Δύτισσα,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),0,Παραλία Αγριλέζας,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),1,Παραλία Ακρωτηρίου,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),2,Παραλία Αγίας Παρασκευής,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),3,Παραλία Αγίου Κωνσταντίνου,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),4,Παραλία Αγκώνα,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),5,Μικρό Σέσι,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),6,Θέρετρο Αξιωματικών Ναυτικού,asphalt_road,asphalt_road,low,low,true,false,0,0,organized:true->false|added_organized_downgrade_note|added_low_evidence_note
Attica,East Attica,East Attica (mainland),10,Όρμος Ληδάκι,hiking_path_easy,unknown,medium,low,false,false,0,0,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),11,Πλαζ Ραφήνας,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,East Attica,East Attica (mainland),13,Άρτεμις,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,East Attica,East Attica (mainland),14,Παραλία Βραυρώνας,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),15,Μικρή Χαμολιά,passable_dirt_road,unknown,medium,low,false,false,0,0,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),16,Παραλία Χαμολιά,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),18,Ερωτοσπηλιά,asphalt_road,asphalt_road,low,low,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note|added_low_evidence_note
Attica,East Attica,East Attica (mainland),19,Παραλία Αγίου Σπυρίδωνα,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,East Attica,East Attica (mainland),21,Αυλάκι,asphalt_road,asphalt_road,low,low,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note|added_low_evidence_note
Attica,East Attica,East Attica (mainland),22,Πανόραμα,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),24,Παραλία Κοκολόκο,passable_dirt_road,unknown,medium,low,false,false,0,0,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),25,Λομπάρδα / Mojito Bay,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,East Attica,East Attica (mainland),26,Ηλιόπουλος,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),27,Παραλία Αλθέας,hiking_path_easy,unknown,medium,low,false,false,0,0,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),28,Παραλία Σκάλες Αλθέας,hiking_path_easy,unknown,medium,low,false,false,0,0,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),29,Γαλάζια Ακτή,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,East Attica,East Attica (mainland),30,Αρμυρίκια,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),31,Πόρτο Εννέα,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),32,Πεύκο,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),34,Καλοπήγαδο,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),35,Ευκάλυπτα,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),36,Τσονίμα,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),37,Κεντρική παραλία Σαρωνίδας,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,East Attica,East Attica (mainland),38,Δεύτερη Παραλία Σαρωνίδας,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),40,Μαύρο Λιθάρι / Eden Beach,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,East Attica,East Attica (mainland),42,Όρμος Αγίου Νικολάου,hiking_path_easy,unknown,medium,low,false,false,0,0,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),43,Σκαλάκια Αναβύσσου,hiking_path_easy,unknown,medium,low,false,false,0,0,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),44,Παραλία Αγίου Νικολάου,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),45,Θυμάρι,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),46,Πούντα Ζέζα,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,East Attica,East Attica (mainland),47,Πασά,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),48,Τσίου,passable_dirt_road,unknown,medium,low,false,false,0,0,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),49,Ασημάκη,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),51,Παραλία Λεγραινών,asphalt_road,asphalt_road,low,low,false,false,0,0,added_low_evidence_note
Attica,East Attica,East Attica (mainland),53,Άγιος Πέτρος,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,East Attica,East Attica (mainland),54,Παραλία Σουνίου,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,Islands (Saronic & Kythira),Aegina,0,Παραλία Βαγίας,asphalt_road,asphalt_road,low,low,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Aegina,3,Αύρα,asphalt_road,asphalt_road,medium,medium,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note
Attica,Islands (Saronic & Kythira),Aegina,4,Βοτσαλωτή Παραλία,asphalt_road,asphalt_road,low,low,false,false,0,0,added_low_evidence_note
Attica,Islands (Saronic & Kythira),Aegina,7,Παραλία Ζινόβι,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Aegina,8,Παραλία Καμάρες,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Aegina,9,Παραλία Κολώνα,hiking_path_easy,unknown,medium,low,false,false,0,0,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Aegina,10,Παραλία Μαραθώνα Α,asphalt_road,asphalt_road,low,low,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Aegina,11,Παραλία Μαραθώνα Β,asphalt_road,asphalt_road,low,low,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Aegina,13,Τούρλος,asphalt_road,asphalt_road,medium,low,false,false,0,0,confidence:medium->low|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Aegina,14,Σουβάλα,asphalt_road,asphalt_road,low,low,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Agistri,2,Ξεκοφτή,asphalt_road,asphalt_road,low,low,false,false,0,0,added_low_evidence_note
Attica,Islands (Saronic & Kythira),Agistri,3,Παραλία Μεγαλοχωρίου,asphalt_road,asphalt_road,low,low,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Agistri,4,Σκληρή,hiking_path_easy,unknown,low,low,false,false,0,0,access:hiking_path_easy->unknown|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Hydra,1,Αυλάκι,hiking_path_easy,unknown,low,low,false,false,0,0,access:hiking_path_easy->unknown|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Hydra,2,Καμίνια,hiking_path_easy,unknown,low,low,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note|access:hiking_path_easy->unknown|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Hydra,7,Πλάκες,hiking_path_easy,unknown,low,low,true,false,0,0,organized:true->false|removed_organized_amenities:2|added_organized_downgrade_note|access:hiking_path_easy->unknown|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Hydra,8,Σπηλιά,hiking_path_easy,unknown,low,low,true,false,0,0,organized:true->false|added_organized_downgrade_note|access:hiking_path_easy->unknown|added_low_evidence_note
Attica,Islands (Saronic & Kythira),Kythira,0,Άγιος Νικόλαος,passable_dirt_road,unknown,medium,low,false,false,0,0,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
