prefecture,place,index,name,beforeAccess,afterAccess,beforeConfidence,afterConfidence,actions
Cyclades,Amorgos,0,Αγία Άννα,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Amorgos,3,Καμπί,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Amorgos,4,Κάτω Κάμπος,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Amorgos,5,Λεβρωσός,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Amorgos,7,Μούρος,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Amorgos,9,Παραδείσια,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Amorgos,10,Φοινικιές,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Amorgos,11,Χόχλακας,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Amorgos,12,Ψιλή Άμμος,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Anafi,0,Άγιοι Ανάργυροι,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Anafi,1,Βαγιά,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Anafi,3,Καλαγκάθι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Anafi,4,Καταλιμάτσα,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Anafi,5,Κατσούνι,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Anafi,7,Λιβοσκόπος,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Anafi,8,Μέγας Ποταμός,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Anafi,9,Μικρός Ρούκουνας,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Anafi,10,Ξετρυπητή,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Anafi,11,Πρασιές,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Anafi,12,Πράσσα,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Anafi,14,Φλαμουρού,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Andros,1,Άγιος Ιωάννης,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Andros,4,Αρτεμίδι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Andros,8,Βλυχάδα,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Andros,9,Βόρη,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Andros,10,Βiντζι,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Andros,14,Καλαμίτσι,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Andros,15,Καμινάκι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Andros,18,Κουρταλή,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Andros,20,Λεύκα,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Andros,21,Λεφκιβάρι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Andros,22,Λιμανάκι,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Andros,23,Λυδι,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Andros,24,Μεγάλα Πέζα,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Andros,25,Μικρά Πέζα,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Andros,26,Μικρογιάλι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Andros,29,Παλαιοπολη,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Andros,30,Παραλία Φελού,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Andros,31,Παραπόρτι,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Andros,33,Πίσω Λιμνιώνας,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Andros,34,Πλατανιστός,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Andros,35,Πύργος,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Andros,36,Ρόζος,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Andros,37,Στενό (Σταυρός),passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Andros,38,Συνετί,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Antiparos,0,Άγιος Σώστης,passable_dirt_road,unknown,low,low,access:passable_dirt_road->unknown|added_low_evidence_note
Cyclades,Antiparos,1,Ακτή Παναγίας Φανερωμένης,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Antiparos,3,Θεολόγος,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Antiparos,4,Καλούδια,asphalt_road,asphalt_road,low,low,added_low_evidence_note
Cyclades,Antiparos,5,Λιβάδι,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Antiparos,6,Λιβάδια,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Antiparos,9,Σιφνέικο,asphalt_road,asphalt_road,medium,low,confidence:medium->low|added_low_evidence_note
Cyclades,Antiparos,11,Φανερωμένη,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Donousa,0,Κέδρος,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Donousa,1,Λιβάδι,hiking_path_easy,unknown,medium,low,access:hiking_path_easy->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Donousa,2,Λιμενάρι,hiking_path_easy,unknown,low,low,access:hiking_path_easy->unknown|added_low_evidence_note
Cyclades,Folegandros,0,Άγιος Γεώργιος,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
Cyclades,Folegandros,3,Αμπέλι,passable_dirt_road,unknown,medium,low,access:passable_dirt_road->unknown|confidence:medium->low|added_low_evidence_note
