prefecture,place,index,name,action,organized,sourceUrlCount,amenities
Cyclades,Amorgos,2,Καλοκαταρίτισσα,downgraded_unsupported_organized_services,false,0,καφέ κοντά | ταβέρνες κοντά | parking κοντά
Cyclades,Anafi,2,Έξω Ρούκουνας,downgraded_unsupported_organized_services,false,0,ταβέρνα κοντά | parking κοντά
Cyclades,Anafi,6,Κλεισίδι,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Cyclades,Anafi,13,Ρούκουνας,downgraded_unsupported_organized_services,false,0,ταβέρνα κοντά | parking κοντά
Cyclades,Antiparos,10,Σωρό,downgraded_unsupported_organized_services,false,0,καφέ κοντά | ταβέρνες κοντά | parking κοντά
Cyclades,Donousa,3,Σταυρός,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Cyclades,Folegandros,1,Άγιος Νικόλαος,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Cyclades,Folegandros,2,Αγκάλη,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Cyclades,Folegandros,8,Κοχλίδια,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Cyclades,Ios,4,Αγία Θεοδότη,promoted_verification_sources_to_sourceUrls,true,2,ομπρέλες εποχικά | ξαπλώστρες εποχικά | καντίνα | snack bar εποχικά | ταβέρνα κοντά | parking κοντά | φυσική σκιά
Cyclades,Ios,16,Κατσιβέλι,downgraded_unsupported_organized_services,false,0,καφέ κοντά | ταβέρνες κοντά | restaurant κοντά | parking κοντά
Cyclades,Ios,48,Ψάθη,promoted_verification_sources_to_sourceUrls,false,3,λίγες ομπρέλες εποχικά | ταβέρνα κοντά | restaurant κοντά | parking κοντά | φυσική σκιά
Cyclades,Iraklia,1,Λιβάδι,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Cyclades,Kimolos,8,Καλαμίτσι,downgraded_unsupported_organized_services,false,0,ταβέρνα κοντά | καφέ κοντά | parking κοντά
Cyclades,Kimolos,16,Παραλία Πήγαδος,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Cyclades,Kimolos,19,Ψάθη,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά | λιμάνι κοντά
Cyclades,Naxos,16,Καστράκι,promoted_verification_sources_to_sourceUrls,true,1,ομπρέλες εποχικά | ξαπλώστρες εποχικά | parking κοντά
Cyclades,Santorini,2,Βουρβούλος,promoted_verification_sources_to_sourceUrls,false,1,ξαπλώστρες εποχικά | ομπρέλες εποχικά | ταβέρνα κοντά | restaurant κοντά | parking κοντά
Cyclades,Santorini,7,Μονόλιθος,promoted_verification_sources_to_sourceUrls,true,1,ομπρέλες εποχικά | ξαπλώστρες εποχικά | ταβέρνες κοντά | restaurant κοντά | parking κοντά
Cyclades,Sikinos,0,Άγιος Γεώργιος,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Cyclades,Syros,6,Αζόλιμνος,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Cyclades,Syros,15,Δελφίνι,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Cyclades,Syros,28,Φοίνικας,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Cyclades,Tinos,25,Όρμος Υστερνίων,downgraded_unsupported_organized_services,false,0,καφέ | parking κοντά
Dodecanese,Agathonisi,3,Παραλία Σπηλιάς,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Dodecanese,Halki,0,Φτενάγια,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Dodecanese,Halki,1,Κάνια,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Dodecanese,Kastellorizo,0,Μανδράκι,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Dodecanese,Lipsi,4,Κατσαδιά,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Dodecanese,Lipsi,12,Παπαντριά,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Dodecanese,Telendos,3,Παραλία Πόθα,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
Dodecanese,Telendos,4,Παραλία Πάρανταϊς,downgraded_unsupported_organized_services,false,0,ταβέρνες κοντά | καφέ κοντά | parking κοντά
