group,region,regionGr,total,withPhoto,missing,pct
cyclades,Naxos,Νάξος,44,28,16,63.6
cyclades,Milos,Μήλος,42,23,19,54.8
cyclades,Andros,Άνδρος,41,15,26,36.6
cyclades,Ios,Ίος,40,9,31,22.5
cyclades,Kythnos,Κύθνος,40,24,16,60
cyclades,Tinos,Τήνος,40,19,21,47.5
cyclades,Mykonos,Μύκονος,39,28,11,71.8
cyclades,Paros,Πάρος,39,33,6,84.6
cyclades,Kea,Κέα,34,7,27,20.6
cyclades,Serifos,Σέριφος,25,16,9,64
cyclades,Syros,Σύρος,24,17,7,70.8
cyclades,Sifnos,Σίφνος,20,12,8,60
cyclades,Koufonisia,Κουφονήσια,19,11,8,57.9
cyclades,Kimolos,Κίμωλος,17,4,13,23.5
cyclades,Folegandros,Φολέγανδρος,16,15,1,93.8
cyclades,Amorgos,Αμοργός,15,8,7,53.3
cyclades,Anafi,Ανάφη,15,7,8,46.7
cyclades,Santorini,Σαντορίνη,13,10,3,76.9
cyclades,Antiparos,Αντίπαρος,12,4,8,33.3
cyclades,Schinoussa,Σχοινούσα,8,2,6,25
cyclades,Sikinos,Σίκινος,5,4,1,80
cyclades,Donousa,Δονούσα,4,3,1,75
cyclades,Polyaigos,Πολύαιγος,4,1,3,25
cyclades,Iraklia,Ηρακλειά,2,2,0,100
dodecanese,Rhodes,Ρόδος,62,46,16,74.2
dodecanese,Karpathos,Κάρπαθος,45,18,27,40
dodecanese,Kos,Κως,38,20,18,52.6
dodecanese,Astypalaia,Αστυπάλαια,22,4,18,18.2
dodecanese,Kalymnos,Κάλυμνος,20,4,16,20
dodecanese,Lipsi,Λειψοί,18,8,10,44.4
dodecanese,Patmos,Πάτμος,16,8,8,50
dodecanese,Tilos,Τήλος,12,4,8,33.3
dodecanese,Symi,Σύμη,11,4,7,36.4
dodecanese,Leros,Λέρος,10,2,8,20
dodecanese,Agathonisi,Αγαθονήσι,5,2,3,40
dodecanese,Kasos,Κάσος,5,1,4,20
dodecanese,Telendos,Τέλενδος,5,2,3,40
dodecanese,Kastellorizo,Καστελλόριζο,3,2,1,66.7
dodecanese,Pserimos,Ψέριμος,3,1,2,33.3
dodecanese,Arki,Αρκοί,2,0,2,0
dodecanese,Halki,Χάλκη,2,1,1,50
dodecanese,Marathi,Μαράθι,2,1,1,50
dodecanese,Nisyros,Νίσυρος,2,1,1,50
ionian,Corfu,Κέρκυρα,105,64,41,61
ionian,Kefalonia,Κεφαλονιά,77,48,29,62.3
ionian,Kythira,Κύθηρα,42,27,15,64.3
ionian,Zakynthos,Ζάκυνθος,39,30,9,76.9
ionian,Lefkada,Λευκάδα,33,19,14,57.6
ionian,Ithaca,Ιθάκη,25,8,17,32
ionian,Paxos,Παξοί,25,15,10,60
ionian,Antipaxos,Αντίπαξοι,14,5,9,35.7
ionian,Meganisi,Μεγανήσι,8,1,7,12.5
ionian,Othonoi,Οθωνοί,3,0,3,0
ionian,Erikoussa,Ερείκουσα,2,0,2,0
ionian,Mathraki,Μαθράκι,1,0,1,0
crete,Chania,Χανιά,89,52,37,58.4
crete,Lasithi,Λασίθι,63,40,23,63.5
crete,Heraklion,Ηράκλειο,53,31,22,58.5
