id,beach,region,file,license,author,sourcePageUrl,imageUrl,metadataStatus,batch,verificationNote
36,Plaz Rafinas,East Attica,Rafina - panoramio - Jan M.jpg,CC BY-SA 3.0,Jan M,https://commons.wikimedia.org/wiki/File%3ARafina%20-%20panoramio%20-%20Jan%20M.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Rafina%20-%20panoramio%20-%20Jan%20M.jpg&width=800,candidate-report-verified,twenty-fifth-pass,Commons geotag is 110m from Plaz Rafinas and title identifies Rafina; visual QA shows the organized beach.
71,Pounta Zeza,East Attica,LavrioPountaZeza.jpg,Attribution,The original uploader was Apanag at Greek Wikipedia.,https://commons.wikimedia.org/wiki/File%3ALavrioPountaZeza.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/LavrioPountaZeza.jpg&width=800,candidate-report-verified,sixteenth-pass,Commons description identifies Pounta Zeza beach in Laurium; visual QA shows the cove/beach.
100,Chalikiada,Agistri,Chalikiada - Agkistri.jpg,CC BY-SA 4.0,Pavlos1988,https://commons.wikimedia.org/wiki/File%3AChalikiada%20-%20Agkistri.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Chalikiada%20-%20Agkistri.jpg&width=800,candidate-report-verified,fifteenth-pass,Commons Greek description identifies Chalikiada beach on Agkistri; visual QA shows the beach cove.
101,Agios Nikolaos,Hydra,"Aerial Nikolaos Beach Hydra, Greece (43058504740).jpg",CC BY 2.0,dronepicr,https://commons.wikimedia.org/wiki/File%3AAerial%20Nikolaos%20Beach%20Hydra%2C%20Greece%20(43058504740).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Aerial%20Nikolaos%20Beach%20Hydra%2C%20Greece%20(43058504740).jpg&width=800,candidate-report-verified,twenty-fifth-pass,Commons Beaches of Hydra category and exact Nikolaos Beach Hydra title identify Agios Nikolaos; visual QA shows the beach.
102,Avlaki,Hydra,Swimming On Hydra - panoramio.jpg,CC BY-SA 3.0,Neil Aitkenhead,https://commons.wikimedia.org/wiki/File%3ASwimming%20On%20Hydra%20-%20panoramio.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Swimming%20On%20Hydra%20-%20panoramio.jpg&width=800,candidate-report-verified,twenty-fifth-pass,Commons geotag is 40m from Avlaki Hydra; visual QA shows the rocky swimming beach/cove.
144,Kapsali,Kythira,KYTHIRA Kapsali.jpg,CC BY-SA 4.0,Ioannis Fakis,https://commons.wikimedia.org/wiki/File%3AKYTHIRA%20Kapsali.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/KYTHIRA%20Kapsali.jpg&width=800,candidate-report-verified,twenty-fourth-pass,Commons categories identify Kapsali (Kythira); visual QA shows the beach and Kapsali settlement.
149,Paralia Chalkos,Kythira,Beach - Chalkos - Kythira - Greece - 2018.09.01 17.35.05.518 001.JPG,CC BY-SA 4.0,Dionisio Calucci,https://commons.wikimedia.org/wiki/File%3ABeach%20-%20Chalkos%20-%20Kythira%20-%20Greece%20-%202018.09.01%2017.35.05.518%20001.JPG,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Beach%20-%20Chalkos%20-%20Kythira%20-%20Greece%20-%202018.09.01%2017.35.05.518%20001.JPG&width=800,candidate-report-verified,twenty-fourth-pass,Commons description/title identify Beach - Chalkos - Kythira; visual QA shows the beach.
249,Limnionas Psachnon,Evia,XEN LIMNIONAS.jpg,CC BY-SA 4.0,Billy xen,https://commons.wikimedia.org/wiki/File%3AXEN%20LIMNIONAS.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/XEN%20LIMNIONAS.jpg&width=800,candidate-report-verified,twenty-eighth-pass,"Commons Beaches of Dirfys-Messapia category and title identify Limnionas in central/north Evia; app record sources identify Limnionas Psachnon in this municipality, and visual QA shows the cove/shoreline."
292,Potami Karystou,Evia,Potami beach.jpeg,CC BY-SA 3.0,Aragoz,https://commons.wikimedia.org/wiki/File%3APotami%20beach.jpeg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Potami%20beach.jpeg&width=800,candidate-report-verified,thirteenth-pass,Commons Greek description identifies Potami beach in southern Euboea; visual QA shows the beach.
357,Vivos,Fthiotida,Ο Βίβος.jpg,CC BY-SA 3.0,Ηλίας Κ. Καρέντζος,https://commons.wikimedia.org/wiki/File%3A%CE%9F%20%CE%92%CE%AF%CE%B2%CE%BF%CF%82.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/%CE%9F%20%CE%92%CE%AF%CE%B2%CE%BF%CF%82.jpg&width=800,candidate-report-verified,twenty-fifth-pass,Commons category Proskynas is under Phthiotis Regional Unit; visual QA shows the Vivos shoreline/beach.
