id	name	region	category	license	file
2592	Katerinas Vala	Alonissos	Category:Steni Vala Beach (Alonissos)	CC BY-SA 3.0	Steni vala beach - panoramio (1).jpg
2592	Katerinas Vala	Alonissos	Category:Steni Vala Beach (Alonissos)	CC BY-SA 3.0	Steni vala beach - panoramio (2).jpg
2592	Katerinas Vala	Alonissos	Category:Steni Vala Beach (Alonissos)	CC BY-SA 3.0	Steni vala beach - panoramio (3).jpg
2592	Katerinas Vala	Alonissos	Category:Steni Vala Beach (Alonissos)	CC BY-SA 3.0	Steni vala beach - panoramio (4).jpg
2592	Katerinas Vala	Alonissos	Category:Steni Vala Beach (Alonissos)	CC BY-SA 3.0	Steni vala beach - panoramio (5).jpg
2592	Katerinas Vala	Alonissos	Category:Steni Vala Beach (Alonissos)	CC BY-SA 3.0	Steni vala beach - panoramio.jpg
3038	Chios Daskalopetra	Chios	Category:Beaches of Chios	CC BY-SA 4.0	Chios Aug 2023 12 28 16 581000.jpeg
3038	Chios Daskalopetra	Chios	Category:Beaches of Chios	CC BY-SA 4.0	Chios Aug 2023 12 40 06 530000.jpeg
3038	Chios Daskalopetra	Chios	Category:Beaches of Chios	CC BY-SA 4.0	Chios Aug 2023 12 40 10 342000.jpeg
3038	Chios Daskalopetra	Chios	Category:Beaches of Chios	CC BY-SA 4.0	Chios Aug 2023 12 40 16 373000.jpeg
3038	Chios Daskalopetra	Chios	Category:Beaches of Chios	CC BY-SA 4.0	Elinda beach.jpg
3038	Chios Daskalopetra	Chios	Category:Beaches of Chios	CC BY-SA 3.0	Komi beach.jpg
3038	Chios Daskalopetra	Chios	Category:Beaches of Chios	CC BY-SA 3.0	Lefkathia.jpg
3038	Chios Daskalopetra	Chios	Category:Beaches of Chios	CC BY-SA 4.0	North Chios.jpg
1305	Partheni	Ikaria	Category:Partheni Beach (Ikaria)	CC BY 2.0	Taverna Partheni Beach Ikaria.jpg
3108	Kalogeros (Elafonisos)	Lakonia	Category:Elafonisos	CC BY-SA 3.0	-) - panoramio (21).jpg
3108	Kalogeros (Elafonisos)	Lakonia	Category:Elafonisos	CC BY-SA 3.0	... - panoramio (39).jpg
3108	Kalogeros (Elafonisos)	Lakonia	Category:Elafonisos	Public domain	2010 Dimos Elafonisou.svg
3108	Kalogeros (Elafonisos)	Lakonia	Category:Elafonisos	CC BY 3.0	2011 Dimos Elafonisou.png
3108	Kalogeros (Elafonisos)	Lakonia	Category:Elafonisos	CC BY-SA 4.0	ACNW5754.jpg
3108	Kalogeros (Elafonisos)	Lakonia	Category:Elafonisos	Public domain	Admiralty Chart No 712 Harbours and Anchorages on the South-East Coast of Greece, Published 1966.jpg
3108	Kalogeros (Elafonisos)	Lakonia	Category:Elafonisos	CC BY-SA 3.0	After - panoramio.jpg
3108	Kalogeros (Elafonisos)	Lakonia	Category:Elafonisos	CC BY-SA 4.0	Beach on Elafonisos2.jpg
3106	Limnionas (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 3.0	- panoramio (5405).jpg
3106	Limnionas (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 4.0	2010-12-18 ΠΟΤΑΜΙ.jpg
3106	Limnionas (Samos)	Samos	Category:Samos in the 2010s	CC BY-SA 3.0	Abandonded at Pyrgos. - panoramio.jpg
3106	Limnionas (Samos)	Samos	Category:Samos in the 2000s	CC BY-SA 3.0	Agh. Konstantinos. - panoramio.jpg
3106	Limnionas (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 3.0	Bay of Balos. - panoramio.jpg
3106	Limnionas (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 4.0	Beachfront in Karlovasi, Samos.jpg
3106	Limnionas (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 3.0	Cliffs at Balos. - panoramio.jpg
3106	Limnionas (Samos)	Samos	Category:Samos in the 2000s	CC BY-SA 3.0	I'll bet you recognise this if you know Samos. - panoramio.jpg
3106	Limnionas (Samos)	Samos	Category:Beaches of Samos	CC BY 3.0	Ireo-Samos.JPG
3106	Limnionas (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 3.0	Kerveli, Samos. - panoramio.jpg
3106	Limnionas (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 3.0	Kerveli. - panoramio - Bob&Anne Powell.jpg
3106	Limnionas (Samos)	Samos	Category:Samos in the 2010s	CC BY-SA 4.0	Mitilini Samos 1.jpg
3106	Limnionas (Samos)	Samos	Category:Samos in the 2010s	CC BY-SA 4.0	Skouraiika Samos.jpg
3107	Plaka (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 3.0	- panoramio (5405).jpg
3107	Plaka (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 4.0	2010-12-18 ΠΟΤΑΜΙ.jpg
3107	Plaka (Samos)	Samos	Category:Samos in the 2010s	CC BY-SA 3.0	Abandonded at Pyrgos. - panoramio.jpg
3107	Plaka (Samos)	Samos	Category:Samos in the 2000s	CC BY-SA 3.0	Agh. Konstantinos. - panoramio.jpg
3107	Plaka (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 3.0	Bay of Balos. - panoramio.jpg
3107	Plaka (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 4.0	Beachfront in Karlovasi, Samos.jpg
3107	Plaka (Samos)	Samos	Category:Beaches of Samos	CC BY-SA 3.0	Cliffs at Balos. - panoramio.jpg
3107	Plaka (Samos)	Samos	Category:Samos in the 2000s	CC BY-SA 3.0	I'll bet you recognise this if you know Samos. - panoramio.jpg
3107	Plaka (Samos)	Samos	Category:Beaches of Samos	CC BY 3.0	Ireo-Samos.JPG
