id	name	region	title
999	Paralia NAOK	Corfu	Nautical Athletic Club of Corfu (NAOK).jpg
999	Paralia NAOK	Corfu	Old Fortress Corfu from NAOK 2026-04-24.jpg
999	Paralia NAOK	Corfu	Ionian Academy view from NAOK, Corfu 2026-03-09.jpg
999	Paralia NAOK	Corfu	Corfu Contrafossa facing NAOK.jpg
3102	Paralia Agios Gordis (Levkimmi)	Corfu	Corfu Agios Gordis R04.jpg
3102	Paralia Agios Gordis (Levkimmi)	Corfu	Corfu Agios Gordis R03.jpg
3102	Paralia Agios Gordis (Levkimmi)	Corfu	Corfu Agios Gordis R01.jpg
3102	Paralia Agios Gordis (Levkimmi)	Corfu	Corfu Agios Gordis R02.jpg
3102	Paralia Agios Gordis (Levkimmi)	Corfu	Corfu Agios Gordis R05.jpg
1146	Agios Ioannis	Lefkada	Lefkada agios ioannis.jpg
1146	Agios Ioannis	Lefkada	Kitesurfers, Lefkada Agios Ioannis beach.webm
1146	Agios Ioannis	Lefkada	Kitesurfers, Lefkada Agios Ioannis beach, at the last windmill.webm
1146	Agios Ioannis	Lefkada	The beach of agios ioannis.jpg
1165	Lygia	Lefkada	Gra lygia beach.jpg
1253	Vigla	Chios	Naxos Mikri Vigla 2025-06-25 1368 beach 08.jpg
1273	Paralia Myrsinidi	Chios	Chios - Myrsinidi Monastery.jpg
1319	Paralia Tokmakia	Lesvos	Tokmakia islands of Lesvos.jpg
1387	Plaka (anatolikos ormos)	Samos	Elounda bay with Plaka beach Crete.jpg
1388	Plaka (dytikos ormos)	Samos	Elounda bay with Plaka beach Crete.jpg
1394	Klima	Samos	Klima-Samos.svg
3107	Plaka (Samos)	Samos	Elounda bay with Plaka beach Crete.jpg
1461	Platy	Lemnos	Lemnos, Platy.jpg
1463	Plaka	Lemnos	Pareklisi plaka limnos.jpg
1463	Plaka	Lemnos	Elounda bay with Plaka beach Crete.jpg
1561	Kastella	Lakonia	Kastella Beach - panoramio.jpg
1588	Paralia Trinisa	Lakonia	Gytheio – A small beach next to Trinisa, view from the sea.JPG
1588	Paralia Trinisa	Lakonia	Gytheio – A small beach next to Trinisa.jpg
1642	Paralia Stomio	Messinia	Stomio-blick-zum-strand.jpg
1642	Paralia Stomio	Messinia	Stomio-blick-zum-strand-b.JPG
3020	Agios Andreas	Messinia	Agios Andreas, Messinia, Greece.jpg
3020	Agios Andreas	Messinia	Agios Andreas, Messinia, Greece (3).jpg
3020	Agios Andreas	Messinia	Agios Andreas, Messinia, Greece (2).jpg
3020	Agios Andreas	Messinia	Άγιος Ανδρέας Μεσσηνίας - Agios Andreas, Messinia, Greece.jpg
3020	Agios Andreas	Messinia	Άγιος Ανδρέας Μεσσηνίας - Agios Andreas, Messinia, Greece (2).jpg
3020	Agios Andreas	Messinia	Άγιος Ανδρέας Μεσσηνίας - Agios Andreas, Messinia, Greece (3)..jpg
