score	id	name	region	slug	idx	dist	license	source	title	page
110	1305	Partheni	Ikaria	north-aegean-ikaria	1	99999	by 2.0	openverse:wikimedia	Taverna Partheni Beach Ikaria	https://commons.wikimedia.org/w/index.php?curid=115222669
110	1305	Partheni	Ikaria	north-aegean-ikaria	3	99999	CC BY 2.0	commons-name	Taverna Partheni Beach Ikaria.jpg	https://commons.wikimedia.org/wiki/File%3ATaverna%20Partheni%20Beach%20Ikaria.jpg
110	2500	Marathi	Marathi	south-aegean-marathi	2	99999	CC BY 4.0	commons-name	WSC2025-Denpasar-sanur beach-Punjabi-Marathi-Tamil participants.jpg	https://commons.wikimedia.org/wiki/File%3AWSC2025-Denpasar-sanur%20beach-Punjabi-Marathi-Tamil%20participants.jpg
110	1038	Ozias	Paxos	ionian-islands-paxos	5	444	CC BY-SA 4.0	commons-geo(444m)	Ozias Bay and Andipaxos.jpg	https://commons.wikimedia.org/wiki/File%3AOzias%20Bay%20and%20Andipaxos.jpg
110	2624	Achladies	Skiathos	thessaly-skiathos	0	158	CC0	commons-geo(158m)	Achladies Apartments, Skiathos, Greece (Unsplash).jpg	https://commons.wikimedia.org/wiki/File%3AAchladies%20Apartments%2C%20Skiathos%2C%20Greece%20(Unsplash).jpg
108	558	Paralia Lissos	Chania	crete-crete-chania	0	87	CC BY-SA 4.0	commons-geo(87m)	Lissos hlavice sloupu.jpg	https://commons.wikimedia.org/wiki/File%3ALissos%20hlavice%20sloupu.jpg
108	3069	Paralia Kerasia	Corfu	ionian-islands-corfu	0	109	CC BY 3.0	commons-geo(109m)	Zakynthos May 2009 - Kerasia - panoramio.jpg	https://commons.wikimedia.org/wiki/File%3AZakynthos%20May%202009%20-%20Kerasia%20-%20panoramio.jpg
108	1317	Kampi	Fournoi	north-aegean-fournoi	0	112	CC BY 3.0	commons-geo(112m)	Kampi ,Furnoi - panoramio.jpg	https://commons.wikimedia.org/wiki/File%3AKampi%20%2CFurnoi%20-%20panoramio.jpg
108	1018	Mongonisi	Paxos	ionian-islands-paxos	5	102	CC BY-SA 4.0	commons-geo(102m)	Olive grove on Mongonisi.jpg	https://commons.wikimedia.org/wiki/File%3AOlive%20grove%20on%20Mongonisi.jpg
108	672	Agia Marina	Rethymno	crete-crete-rethymno	1	99	CC BY-SA 4.0	commons-geo(99m)	Rodakino Ekklisia Agia Marina 02.JPG	https://commons.wikimedia.org/wiki/File%3ARodakino%20Ekklisia%20Agia%20Marina%2002.JPG
108	672	Agia Marina	Rethymno	crete-crete-rethymno	2	100	CC BY-SA 4.0	commons-geo(100m)	Rodakino Ekklisia Agia Marina Bell 01.JPG	https://commons.wikimedia.org/wiki/File%3ARodakino%20Ekklisia%20Agia%20Marina%20Bell%2001.JPG
108	672	Agia Marina	Rethymno	crete-crete-rethymno	3	100	CC BY-SA 4.0	commons-geo(100m)	Rodakino Ekklisia Agia Marina Bell 02.JPG	https://commons.wikimedia.org/wiki/File%3ARodakino%20Ekklisia%20Agia%20Marina%20Bell%2002.JPG
108	672	Agia Marina	Rethymno	crete-crete-rethymno	4	103	CC BY-SA 4.0	commons-geo(103m)	Rodakino Ekklisia Agia Marina 01.JPG	https://commons.wikimedia.org/wiki/File%3ARodakino%20Ekklisia%20Agia%20Marina%2001.JPG
108	672	Agia Marina	Rethymno	crete-crete-rethymno	5	109	CC BY-SA 4.0	commons-geo(109m)	Rodakino Ekklisia Agia Marina Interior 01.JPG	https://commons.wikimedia.org/wiki/File%3ARodakino%20Ekklisia%20Agia%20Marina%20Interior%2001.JPG
105	629	Psili Ammos	Heraklion	crete-crete-heraklion	2	99999	CC BY 3.0	commons-name	Vai Psili Ammos 07.jpg	https://commons.wikimedia.org/wiki/File%3AVai%20Psili%20Ammos%2007.jpg
105	629	Psili Ammos	Heraklion	crete-crete-heraklion	3	99999	CC BY 3.0	commons-name	Vai Psili Ammos 01.jpg	https://commons.wikimedia.org/wiki/File%3AVai%20Psili%20Ammos%2001.jpg
105	629	Psili Ammos	Heraklion	crete-crete-heraklion	4	99999	CC BY 3.0	commons-name	Vai Psili Ammos 09.jpg	https://commons.wikimedia.org/wiki/File%3AVai%20Psili%20Ammos%2009.jpg
105	629	Psili Ammos	Heraklion	crete-crete-heraklion	5	99999	CC BY 3.0	commons-name	Vai Psili Ammos 04.jpg	https://commons.wikimedia.org/wiki/File%3AVai%20Psili%20Ammos%2004.jpg
105	629	Psili Ammos	Heraklion	crete-crete-heraklion	6	99999	CC BY 3.0	commons-name	Vai Psili Ammos 02.jpg	https://commons.wikimedia.org/wiki/File%3AVai%20Psili%20Ammos%2002.jpg
105	1837	Psili Ammos	Kea	south-aegean-kea	2	99999	CC BY 3.0	commons-name	Vai Psili Ammos 07.jpg	https://commons.wikimedia.org/wiki/File%3AVai%20Psili%20Ammos%2007.jpg
105	1837	Psili Ammos	Kea	south-aegean-kea	3	99999	CC BY 3.0	commons-name	Vai Psili Ammos 01.jpg	https://commons.wikimedia.org/wiki/File%3AVai%20Psili%20Ammos%2001.jpg
105	1837	Psili Ammos	Kea	south-aegean-kea	4	99999	CC BY 3.0	commons-name	Vai Psili Ammos 09.jpg	https://commons.wikimedia.org/wiki/File%3AVai%20Psili%20Ammos%2009.jpg
105	1837	Psili Ammos	Kea	south-aegean-kea	5	99999	CC BY 3.0	commons-name	Vai Psili Ammos 04.jpg	https://commons.wikimedia.org/wiki/File%3AVai%20Psili%20Ammos%2004.jpg
105	1837	Psili Ammos	Kea	south-aegean-kea	6	99999	CC BY 3.0	commons-name	Vai Psili Ammos 10.jpg	https://commons.wikimedia.org/wiki/File%3AVai%20Psili%20Ammos%2010.jpg
105	698	Pachia Ammos	Rethymno	crete-crete-rethymno	0	99999	by 4.0	openverse:wikimedia	Pachia Ammos beach, Samothraki, Greece	https://commons.wikimedia.org/w/index.php?curid=179137908
105	698	Pachia Ammos	Rethymno	crete-crete-rethymno	1	99999	by-sa 3.0	openverse:wikimedia	Pachia Ammos	https://commons.wikimedia.org/w/index.php?curid=2321976
105	698	Pachia Ammos	Rethymno	crete-crete-rethymno	2	99999	CC BY-SA 4.0	commons-name	Pachia Ammos Beach, Samothrace.jpg	https://commons.wikimedia.org/wiki/File%3APachia%20Ammos%20Beach%2C%20Samothrace.jpg
105	698	Pachia Ammos	Rethymno	crete-crete-rethymno	3	99999	CC BY 4.0	commons-name	Pachia Ammos beach, Samothraki, Greece.jpg	https://commons.wikimedia.org/wiki/File%3APachia%20Ammos%20beach%2C%20Samothraki%2C%20Greece.jpg
105	698	Pachia Ammos	Rethymno	crete-crete-rethymno	4	99999	CC BY-SA 3.0	commons-name	Pachia Ammos.jpg	https://commons.wikimedia.org/wiki/File%3APachia%20Ammos.jpg
105	3060	Porto Fino	Salamina	attica-salamina	1	99999	CC BY-SA 4.0	commons-name	Ristorante Pizzeria Porto Fino, Quito, Ecuador.JPG	https://commons.wikimedia.org/wiki/File%3ARistorante%20Pizzeria%20Porto%20Fino%2C%20Quito%2C%20Ecuador.JPG
