id	name	region	idx	license	source	title	page
590	Aptera	Chania	1	by-sa 4.0	openverse:wikimedia	Clay pyxis, Minoan funeral ceremony, Aptera, 1300-1250 BC, AM Chania, 076150	https://commons.wikimedia.org/w/index.php?curid=53278181
949	Nissaki Beach	Corfu	5	CC BY-SA 3.0	commons-name	Hotel Nissaki Corfu.jpg	https://commons.wikimedia.org/wiki/File%3AHotel%20Nissaki%20Corfu.jpg
1305	Partheni	Ikaria	0	by 2.0	openverse:flickr	Taverna Partheni Beach Ikaria	https://www.flickr.com/photos/142059800@N03/27854947354
1305	Partheni	Ikaria	1	by 2.0	openverse:wikimedia	Taverna Partheni Beach Ikaria	https://commons.wikimedia.org/w/index.php?curid=115222669
1305	Partheni	Ikaria	3	CC BY 2.0	commons-name	Taverna Partheni Beach Ikaria.jpg	https://commons.wikimedia.org/wiki/File%3ATaverna%20Partheni%20Beach%20Ikaria.jpg
3104	Paralia Filiatro (Kioni)	Ithaca	2	CC BY-SA 3.0	commons-geo(373m)	Ithaca - Kioni - panoramio.jpg	https://commons.wikimedia.org/wiki/File%3AIthaca%20-%20Kioni%20-%20panoramio.jpg
2500	Marathi	Marathi	0	by-sa 2.0	openverse:flickr	Marathi beach	https://www.flickr.com/photos/39824826@N08/9678897850
2500	Marathi	Marathi	1	by 2.0	openverse:flickr	Marathi	https://www.flickr.com/photos/30004392@N04/9527317336
2500	Marathi	Marathi	2	CC BY 4.0	commons-name	WSC2025-Denpasar-sanur beach-Punjabi-Marathi-Tamil participants.jpg	https://commons.wikimedia.org/wiki/File%3AWSC2025-Denpasar-sanur%20beach-Punjabi-Marathi-Tamil%20participants.jpg
2500	Marathi	Marathi	3	CC BY 3.0	commons-name	Kato Marathi - panoramio (9).jpg	https://commons.wikimedia.org/wiki/File%3AKato%20Marathi%20-%20panoramio%20(9).jpg
2500	Marathi	Marathi	4	CC BY 3.0	commons-name	Kato Marathi - panoramio (5).jpg	https://commons.wikimedia.org/wiki/File%3AKato%20Marathi%20-%20panoramio%20(5).jpg
2500	Marathi	Marathi	5	CC BY 3.0	commons-name	Kato Marathi - panoramio (4).jpg	https://commons.wikimedia.org/wiki/File%3AKato%20Marathi%20-%20panoramio%20(4).jpg
2500	Marathi	Marathi	6	CC BY 3.0	commons-name	Kato Marathi - panoramio (7).jpg	https://commons.wikimedia.org/wiki/File%3AKato%20Marathi%20-%20panoramio%20(7).jpg
2500	Marathi	Marathi	7	CC BY-SA 2.0	commons-name	Dupani Lata (Marathi- दुपानी लता) (2223026968).jpg	https://commons.wikimedia.org/wiki/File%3ADupani%20Lata%20(Marathi-%20%E0%A4%A6%E0%A5%81%E0%A4%AA%E0%A4%BE%E0%A4%A8%E0%A5%80%20%E0%A4%B2%E0%A4%A4%E0%A4%BE)%20(2223026968).jpg
3015	Patmos Kampos	Patmos	0	CC0	commons-geo(295m)	Patmos 20180531114235 (41768252244).jpg	https://commons.wikimedia.org/wiki/File%3APatmos%2020180531114235%20(41768252244).jpg
1018	Mongonisi	Paxos	0	by-sa 4.0	openverse:wikimedia	Southern Tips of Paxos and Mongonisi	https://commons.wikimedia.org/w/index.php?curid=148688303
1038	Ozias	Paxos	5	CC BY-SA 4.0	commons-geo(444m)	Ozias Bay and Andipaxos.jpg	https://commons.wikimedia.org/wiki/File%3AOzias%20Bay%20and%20Andipaxos.jpg
2624	Achladies	Skiathos	0	CC0	commons-geo(158m)	Achladies Apartments, Skiathos, Greece (Unsplash).jpg	https://commons.wikimedia.org/wiki/File%3AAchladies%20Apartments%2C%20Skiathos%2C%20Greece%20(Unsplash).jpg
