beachId,nameGr,nameEn,regionId,region,group,status,checkedAt,reason,candidateCount,acceptedImageUrl,sourcePageUrl
3025,Άλιμος Λουτρά,Alimos Loutra,attica-athens-area-mainland,Athens area,attica,rejected,2026-06-28T13:41:44.150Z,"Rejected after automated source screening and visual QA: candidates were wrong place, landmark/settlement/port/road/people imagery, generic coastal views, or not beach-specific enough for safe use.",8,,
25,Παραλία Αγριλέζας,Paralia Agrilezas,attica-east-attica-mainland,East Attica,attica,no_candidates,2026-06-28T13:41:44.150Z,Discovery completed for this region; no license-safe Commons/Openverse candidate was returned for this beach.,0,,
26,Παραλία Ακρωτηρίου,Paralia Akrotiriou,attica-east-attica-mainland,East Attica,attica,no_candidates,2026-06-28T13:41:44.150Z,Discovery completed for this region; no license-safe Commons/Openverse candidate was returned for this beach.,0,,
27,Παραλία Αγίας Παρασκευής,Paralia Agias Paraskevis,attica-east-attica-mainland,East Attica,attica,no_candidates,2026-06-28T13:41:44.150Z,Discovery completed for this region; no license-safe Commons/Openverse candidate was returned for this beach.,0,,
28,Παραλία Αγίου Κωνσταντίνου,Paralia Agiou Konstantinou,attica-east-attica-mainland,East Attica,attica,no_candidates,2026-06-28T13:41:44.150Z,Discovery completed for this region; no license-safe Commons/Openverse candidate was returned for this beach.,0,,
29,Παραλία Αγκώνα,Paralia Agkona,attica-east-attica-mainland,East Attica,attica,no_candidates,2026-06-28T13:41:44.150Z,Discovery completed for this region; no license-safe Commons/Openverse candidate was returned for this beach.,0,,
30,Μικρό Σέσι,Mikro Sesi,attica-east-attica-mainland,East Attica,attica,no_candidates,2026-06-28T13:41:44.150Z,Discovery completed for this region; no license-safe Commons/Openverse candidate was returned for this beach.,0,,
35,Όρμος Ληδάκι,Ormos Lidaki,attica-east-attica-mainland,East Attica,attica,rejected,2026-06-28T13:41:44.150Z,"Rejected after automated source screening and visual QA: candidates were wrong place, landmark/settlement/port/road/people imagery, generic coastal views, or not beach-specific enough for safe use.",8,,
36,Πλαζ Ραφήνας,Plaz Rafinas,attica-east-attica-mainland,East Attica,attica,rejected,2026-06-28T13:41:44.150Z,"Rejected after automated source screening and visual QA: candidates were wrong place, landmark/settlement/port/road/people imagery, generic coastal views, or not beach-specific enough for safe use.",5,,
42,Παραλία Αράχνες,Paralia Arachnes,attica-east-attica-mainland,East Attica,attica,no_candidates,2026-06-28T13:41:44.150Z,Discovery completed for this region; no license-safe Commons/Openverse candidate was returned for this beach.,0,,
43,Ερωτοσπηλιά,Erotospilia,attica-east-attica-mainland,East Attica,attica,no_candidates,2026-06-28T13:41:44.150Z,Discovery completed for this region; no license-safe Commons/Openverse candidate was returned for this beach.,0,,
45,Νησίδα Κεκροπούλα,Nisida Kekropoula,attica-east-attica-mainland,East Attica,attica,rejected,2026-06-28T13:41:44.150Z,"Rejected after automated source screening and visual QA: candidates were wrong place, landmark/settlement/port/road/people imagery, generic coastal views, or not beach-specific enough for safe use.",2,,
46,Αυλάκι,Avlaki,attica-east-attica-mainland,East Attica,attica,no_candidates,2026-06-28T13:41:44.150Z,Discovery completed for this region; no license-safe Commons/Openverse candidate was returned for this beach.,0,,
