id,nameGr,nameEn,island,regionFile,popularityScore,tier,touristicTier
1209,"Παραλία Γέρακας","Paralia Gerakas","Ζάκυνθος",ionian-islands-zakynthos,97,crowded,true
1193,"Πόρτο Λιμνιώνας","Porto Limnionas","Ζάκυνθος",ionian-islands-zakynthos,97,crowded,true
1185,"Μπανάνα","Banana","Ζάκυνθος",ionian-islands-zakynthos,93,crowded,true
989,"Παραλία Γλυφάδας","Paralia Glyfadas","Κέρκυρα",ionian-islands-corfu,93,crowded,true
905,"Μπέλα Βράκα","Bela Vraka","Θεσπρωτία",epirus-thesprotia-mainland,91,crowded,false
2436,"Παραλία Τραουνού","Paralia Traounou","Ρόδος",south-aegean-rhodes,89,crowded,false
1195,"Άγιος Νικόλαος Βασιλικού","Agios Nikolaos Vasilikou","Ζάκυνθος",ionian-islands-zakynthos,88,crowded,true
3019,"Αγία Γαλήνη","Agia Galini","Ρέθυμνο",crete-crete-rethymno,88,crowded,true
1205,"Μακρύς Γιαλός","Makrys Gialos","Ζάκυνθος",ionian-islands-zakynthos,87,crowded,true
75,"Χάρακας","Charakas","Ανατολική Αττική",attica-east-attica-mainland,87,crowded,false
968,"Κοντογιαλός","Kontogialos","Κέρκυρα",ionian-islands-corfu,86,crowded,true
537,"Λουτράκι","Loutraki","Χανιά",crete-crete-chania,86,crowded,true
1198,"Ξύγκια","Xygkia","Ζάκυνθος",ionian-islands-zakynthos,85,crowded,true
77,"Παραλία ΚΑΠΕ","Paralia KAPE","Ανατολική Αττική",attica-east-attica-mainland,85,crowded,false
899,"Καραβοστάσι","Karavostasi","Θεσπρωτία",epirus-thesprotia-mainland,85,crowded,false
897,"Κάρβουνο","Karvouno","Θεσπρωτία",epirus-thesprotia-mainland,85,crowded,false
1107,"Λουρδάτα","Lourdata","Κεφαλονιά",ionian-islands-kefalonia,84,crowded,true
544,"Νέα Χώρα","Nea Chora","Χανιά",crete-crete-chania,84,crowded,true
875,"Παραλία Λύχνος","Paralia Lychnos","Πρέβεζα",epirus-preveza-mainland,83,crowded,false
767,"Σχίσμα","Schisma","Λασίθι",crete-crete-lasithi,82,crowded,true
457,"Παραλία Βεργιάς","Paralia Vergias","Χαλκιδική",central-macedonia-halkidiki-mainland,82,crowded,true
205,"Αλυκές","Alykes","Εύβοια",central-greece-evia,82,crowded,false
801,"Ατσπάς","Atspas","Θάσος",east-macedonia-and-thrace-thasos,82,crowded,false
2406,"Παραλία Καλλιθέας (Nicolas)","Paralia Kallitheas (Nicolas)","Ρόδος",south-aegean-rhodes,82,crowded,false
476,"Παραλία Αρμενιστής","Paralia Armenistis","Χαλκιδική",central-macedonia-halkidiki-mainland,81,crowded,true
1973,"Τούρλος","Tourlos","Μύκονος",south-aegean-mykonos,80,crowded,true
1226,"Παραλία Φιλιατρό","Paralia Filiatro","Ιθάκη",ionian-islands-ithaca,80,crowded,false
1780,"Μυλοπότας","Mylopotas","Ίος",south-aegean-ios,80,crowded,false
876,"Σαρακήνικο","Sarakiniko","Πρέβεζα",epirus-preveza-mainland,80,crowded,false
2646,"Τρούλος","Troulos","Σκιάθος",thessaly-skiathos,80,crowded,false
1082,"Άμμες","Ammes","Κεφαλονιά",ionian-islands-kefalonia,79,popular,true
43,"Ερωτοσπηλιά","Erotospilia","Ανατολική Αττική",attica-east-attica-mainland,79,popular,false
53,"Παραλία Σκάλες Αλθέας","Paralia Skales Altheas","Ανατολική Αττική",attica-east-attica-mainland,79,popular,false
817,"Νότος","Notos","Θάσος",east-macedonia-and-thrace-thasos,79,popular,false
2423,"Παραλία Καθαρά","Paralia Kathara","Ρόδος",south-aegean-rhodes,79,popular,false
3100,"Αυλάκι (Κέρκυρα / Κασσιόπη)","Avlaki (Kerkyra / Kassiopi)","Κέρκυρα",ionian-islands-corfu,78,popular,true
932,"Benitses beach","Benitses beach","Κέρκυρα",ionian-islands-corfu,78,popular,true
1080,"Άγιος Θωμάς","Agios Thomas","Κεφαλονιά",ionian-islands-kefalonia,78,popular,true
1068,"Φτέρη","Fteri","Κεφαλονιά",ionian-islands-kefalonia,78,popular,true
1166,"Μικρός Γιαλός","Mikros Gialos","Λευκάδα",ionian-islands-lefkada,78,popular,true
