id,beach,region,file,license,author,sourcePageUrl,imageUrl,metadataStatus,batch,verificationNote
36,Plaz Rafinas,East Attica,Rafina - panoramio - Jan M.jpg,CC BY-SA 3.0,Jan M,https://commons.wikimedia.org/wiki/File%3ARafina%20-%20panoramio%20-%20Jan%20M.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Rafina%20-%20panoramio%20-%20Jan%20M.jpg&width=800,candidate-report-verified,twenty-fifth-pass,Commons geotag is 110m from Plaz Rafinas and title identifies Rafina; visual QA shows the organized beach.
48,Kakia Thalassa,East Attica,Kakia Thalassa Keratea.jpg,CC BY-SA 3.0,Gepsimos,https://commons.wikimedia.org/wiki/File%3AKakia%20Thalassa%20Keratea.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Kakia%20Thalassa%20Keratea.jpg&width=800,candidate-report-verified,seventh-pass,"Exact Commons title identifies Kakia Thalassa at Keratea; visual QA shows the beach/cove, not a generic nearby landmark."
71,Pounta Zeza,East Attica,LavrioPountaZeza.jpg,Attribution,The original uploader was Apanag at Greek Wikipedia.,https://commons.wikimedia.org/wiki/File%3ALavrioPountaZeza.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/LavrioPountaZeza.jpg&width=800,candidate-report-verified,sixteenth-pass,Commons description identifies Pounta Zeza beach in Laurium; visual QA shows the cove/beach.
81,Agia Marina,Aegina,Παραλία Αγίας Μαρίνας Αιγίνης,by-sa 4.0,Dimorsitanos,https://commons.wikimedia.org/w/index.php?curid=3720006,https://upload.wikimedia.org/wikipedia/commons/1/1b/%CE%A0%CE%B1%CF%81%CE%B1%CE%BB%CE%AF%CE%B1_%CE%91%CE%B3%CE%AF%CE%B1%CF%82_%CE%9C%CE%B1%CF%81%CE%AF%CE%BD%CE%B1%CF%82_%CE%91%CE%B9%CE%B3%CE%AF%CE%BD%CE%B7%CF%82.jpg,candidate-report-verified,sixth-pass,Exact Wikimedia/Openverse title identifies the sandy beach of Agia Marina at Aegina; visual QA shows the beach.
96,Dragonera,Agistri,20090517 Dragonera Angistri island Greece 1.jpg,CC BY-SA 3.0,Ggia,https://commons.wikimedia.org/wiki/File%3A20090517%20Dragonera%20Angistri%20island%20Greece%201.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/20090517%20Dragonera%20Angistri%20island%20Greece%201.jpg&width=800,candidate-report-verified,sixth-pass,Exact Commons title identifies Dragonera on Angistri; Commons geotag is 30m from the beach record and visual QA shows the beach.
99,Skliri,Agistri,IMG Skliri Beach Agkistri.jpg,CC BY-SA 4.0,Pavlos1988,https://commons.wikimedia.org/wiki/File:IMG_Skliri_Beach_Agkistri.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/IMG%20Skliri%20Beach%20Agkistri.jpg&width=800,commons-api,,"Exact Commons file title and page description identify Skliri Beach, Agkistri; visual QA tile shows the beach."
100,Chalikiada,Agistri,Chalikiada - Agkistri.jpg,CC BY-SA 4.0,Pavlos1988,https://commons.wikimedia.org/wiki/File%3AChalikiada%20-%20Agkistri.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Chalikiada%20-%20Agkistri.jpg&width=800,candidate-report-verified,fifteenth-pass,Commons Greek description identifies Chalikiada beach on Agkistri; visual QA shows the beach cove.
101,Agios Nikolaos,Hydra,"Aerial Nikolaos Beach Hydra, Greece (43058504740).jpg",CC BY 2.0,dronepicr,https://commons.wikimedia.org/wiki/File%3AAerial%20Nikolaos%20Beach%20Hydra%2C%20Greece%20(43058504740).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Aerial%20Nikolaos%20Beach%20Hydra%2C%20Greece%20(43058504740).jpg&width=800,candidate-report-verified,twenty-fifth-pass,Commons Beaches of Hydra category and exact Nikolaos Beach Hydra title identify Agios Nikolaos; visual QA shows the beach.
102,Avlaki,Hydra,Swimming On Hydra - panoramio.jpg,CC BY-SA 3.0,Neil Aitkenhead,https://commons.wikimedia.org/wiki/File%3ASwimming%20On%20Hydra%20-%20panoramio.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Swimming%20On%20Hydra%20-%20panoramio.jpg&width=800,candidate-report-verified,twenty-fifth-pass,Commons geotag is 40m from Avlaki Hydra; visual QA shows the rocky swimming beach/cove.
108,Plakes,Hydra,Plakes Beach Hydra (43058008620).jpg,CC BY 2.0,dronepicr,https://commons.wikimedia.org/wiki/File%3APlakes%20Beach%20Hydra%20(43058008620).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Plakes%20Beach%20Hydra%20(43058008620).jpg&width=800,candidate-report-verified,sixth-pass,Exact Commons title identifies Plakes Beach Hydra; Commons geotag is 55m from the beach record and visual QA shows the beach.
