index,beachId,region,island,nameEn,nameGr,file,license,author,sourcePageUrl,appPhotoUrl
"0","1397","north-aegean-samos","Samos","Gangou","Γάγγου","Samos - panoramio.jpg","CC BY 3.0","Raki_Man","https://commons.wikimedia.org/wiki/File:Samos_-_panoramio.jpg","https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Samos%20-%20panoramio.jpg&width=800"
"1","3061","attica-salamina","Salamina","Charoupias","Χαρουπιάς","Paralia xaroupia - panoramio.jpg","CC BY 3.0","mike-gate-7","https://commons.wikimedia.org/wiki/File:Paralia_xaroupia_-_panoramio.jpg","https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Paralia%20xaroupia%20-%20panoramio.jpg&width=800"
"2","3069","ionian-islands-corfu","Corfu","Paralia Kerasia","Παραλία Κερασιά","Zakynthos May 2009 - Kerasia - panoramio.jpg","CC BY 3.0","maczopikczu","https://commons.wikimedia.org/wiki/File:Zakynthos_May_2009_-_Kerasia_-_panoramio.jpg","https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Zakynthos%20May%202009%20-%20Kerasia%20-%20panoramio.jpg&width=800"
"3","3085","thessaly-skiathos","Skiathos","Paralia Lalarias","Παραλία Λαλάριας","Aerial view of Tsougkria Beach, Greece (51694892542).jpg","CC BY 2.0","dronepicr","https://commons.wikimedia.org/wiki/File:Aerial_view_of_Tsougkria_Beach,_Greece_(51694892542).jpg","https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Aerial%20view%20of%20Tsougkria%20Beach%2C%20Greece%20(51694892542).jpg&width=800"
"4","3087","thessaly-alonissos","Alonissos","Chrysi Milia","Χρυσή Μηλιά","Top-down aerial of Chrisi Milia Beach, Alonnisos, Greece (51696661665).jpg","CC BY 2.0","dronepicr","https://commons.wikimedia.org/wiki/File:Top-down_aerial_of_Chrisi_Milia_Beach,_Alonnisos,_Greece_(51696661665).jpg","https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Top-down%20aerial%20of%20Chrisi%20Milia%20Beach%2C%20Alonnisos%2C%20Greece%20(51696661665).jpg&width=800"
"5","3089","crete-crete-rethymno","Rethymno","Sfagia","Sfagia","Milopatomo.jpg","CC BY-SA 4.0","Vincenzo Coronelli","https://commons.wikimedia.org/wiki/File:Milopatomo.jpg","https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Milopatomo.jpg&width=800"
"6","3091","peloponnese-lakonia-mainland","Lakonia","Paralia Kato Mezapos","Παραλία Κάτω Μέζαπος","Vue du cap Tigani depuis Kato Mezapos.jpg","CC BY-SA 4.0","Patrice78500","https://commons.wikimedia.org/wiki/File:Vue_du_cap_Tigani_depuis_Kato_Mezapos.jpg","https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Vue%20du%20cap%20Tigani%20depuis%20Kato%20Mezapos.jpg&width=800"
"7","3099","ionian-islands-corfu","Corfu","Akoli (Kerkyra)","Άκολη (Κέρκυρα)","Corfu September 2009 - Acoli Beach - panoramio.jpg","CC BY 3.0","maczopikczu","https://commons.wikimedia.org/wiki/File:Corfu_September_2009_-_Acoli_Beach_-_panoramio.jpg","https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Corfu%20September%202009%20-%20Acoli%20Beach%20-%20panoramio.jpg&width=800"
"8","3106","north-aegean-samos","Samos","Limnionas (Samos)","Λιμνιώνας (Σάμος)","ΘΕΑ ΑΠ' ΤΟ ΠΑΡΑΘΥΡΟ.jpg","CC BY 4.0","VythoulkaPa","https://commons.wikimedia.org/wiki/File:%CE%98%CE%95%CE%91_%CE%91%CE%A0%27_%CE%A4%CE%9F_%CE%A0%CE%91%CE%A1%CE%91%CE%98%CE%A5%CE%A1%CE%9F.jpg","https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/%CE%98%CE%95%CE%91%20%CE%91%CE%A0'%20%CE%A4%CE%9F%20%CE%A0%CE%91%CE%A1%CE%91%CE%98%CE%A5%CE%A1%CE%9F.jpg&width=800"
"9","3113","thessaly-skopelos","Skopelos","Plaka (Chora Skopelou)","Πλάκα (Χώρα Σκοπέλου)","Skopelos, Greece - panoramio.jpg","CC BY-SA 3.0","George Mitsouras","https://commons.wikimedia.org/wiki/File:Skopelos,_Greece_-_panoramio.jpg","https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Skopelos%2C%20Greece%20-%20panoramio.jpg&width=800"
