id,name,island,status,distM,stable,googleResult,googleType,placeId,query
1,Παλμύρα,Athens area (mainland),WRONG_PLACE,7740,false,Palmyra Beach Hotel,hotel,ChIJq4JBycu_oRQR_7iELYJXL8I,"Παλμύρα, Athens area"
14,Β' πλαζ Βούλας,Athens area (mainland),WRONG_TYPE,206,false,Β' Πλαζ Βουλας,bus_stop,ChIJo4ouEVqVoRQRAnZn6tZ96c8,"Β' πλαζ Βούλας, Athens area"
18,Zen Beach / Νηρηίδες,Athens area (mainland),WRONG_TYPE,16,false,Νηρηίδες - Zen Beach,restaurant,ChIJ1VC34qXqoRQRi_iYCC6AkrU,"Zen Beach / Νηρηίδες, Athens area"
21,Παναγίτσα η Δύτισσα,Athens area (mainland),WRONG_PLACE,15428,false,Κοίμηση Θεοτόκου - Παναγίτσα Παλαιού Φαλήρου,church,ChIJczvwZCa8oRQRDl19vK_09Zs,"Παναγίτσα η Δύτισσα, Athens area"
3025,Άλιμος Λουτρά,Athens area (mainland),WRONG_TYPE,133,false,Λουτρά Αλίμου,tram_stop,ChIJ7X7BumO-oRQRFAZQ3p_FCMs,"Άλιμος Λουτρά, Athens area"
25,Παραλία Αγριλέζας,East Attica (mainland),WRONG_PLACE,23777,false,Αγριλέζας,,ChIJNbTYPeVwoRQRj3bz61upNRo,"Παραλία Αγριλέζας, East Attica"
27,Παραλία Αγίας Παρασκευής,East Attica (mainland),WRONG_PLACE,68806,false,Παραλία Αγία Παρασκευή,beach,ChIJ-2-grqszohQRHDR-ZzEb1mc,"Παραλία Αγίας Παρασκευής, East Attica"
28,Παραλία Αγίου Κωνσταντίνου,East Attica (mainland),WRONG_PLACE,52046,false,Πλατεία Αγίου Κωνσταντίνου (Γλυφάδας),park,ChIJuWIPps6_oRQRQkmTNR9MdNk,"Παραλία Αγίου Κωνσταντίνου, East Attica"
29,Παραλία Αγκώνα,East Attica (mainland),WRONG_TYPE,299,false,Αγκώνα,,ChIJi8502LhvoRQRdGVOzERlmPo,"Παραλία Αγκώνα, East Attica"
31,Θέρετρο Αξιωματικών Ναυτικού,East Attica (mainland),WRONG_TYPE,357,false,ΝΒΝΕ/ΘΑΝ (Ναυτική Βάση Νοτίου Ευβοϊκού / Θέρετρο Αξιωματικών Ναυτικού),resort_hotel,ChIJ4yzkg298oRQR4CoefY_SxB4,"Θέρετρο Αξιωματικών Ναυτικού, East Attica"
45,Νησίδα Κεκροπούλα,East Attica (mainland),WRONG_PLACE,128650,false,Παραλία Δεκας,beach,ChIJ0zFUtFvnmBQRT5yUJ1oWYjg,"Παραλία Νησίδα Κεκροπούλα, East Attica"
51,Ηλιόπουλος,East Attica (mainland),WRONG_PLACE,21852,false,Moto Iliopoulos Service,car_repair,ChIJm1d7pYGZoRQRooKQbDetgrA,"Ηλιόπουλος, East Attica"
55,Αρμυρίκια,East Attica (mainland),WRONG_PLACE,12112,false,East Attica Cruises- Resalto Terminal,transportation_service,ChIJW-1c0AyPoRQRstP2Vp_C33A,"Αρμυρίκια, East Attica"
60,Ευκάλυπτα,East Attica (mainland),WRONG_PLACE,2266,false,Τα Ευκάλυπτα,restaurant,ChIJecPOB8jsoRQR2ewr3DmsFZ8,"Ευκάλυπτα, East Attica"
67,Όρμος Αγίου Νικολάου,East Attica (mainland),WRONG_PLACE,31916,false,Ναός του Αγίου Νικολάου Ραγκαβά,church,ChIJy8nrwRe9oRQR88rwQ5r8xE4,"Όρμος Αγίου Νικολάου, East Attica"
69,Παραλία Αγίου Νικολάου,East Attica (mainland),WRONG_PLACE,77594,false,"Παραλία Αγίου Νικολάου, Αιγόσθενα",beach,ChIJT-P0v1BRoBQRozFBYhRqfmE,"Παραλία Αγίου Νικολάου, East Attica"
72,Πασά,East Attica (mainland),UNSTABLE,65,false,Παραλία Πασά,natural_feature,ChIJ4fsO9Kv2oRQR_Tt56ipd6bM,"Παραλία Πασά, East Attica"
73,Τσίου,East Attica (mainland),WRONG_PLACE,2399,false,Παραλία Καβατζα,beach,ChIJd-tHfjfxoRQRR5IVkYz6RdQ,"Τσίου, East Attica"
78,Άγιος Πέτρος,East Attica (mainland),WRONG_PLACE,54952,false,Άγιος Πετρος,,ChIJz5bnU7yhoRQRgebqsc5BGEI,"Άγιος Πέτρος, East Attica"
3026,ΚΑΑΥ Άγιος Ανδρέας,East Attica (mainland),WRONG_TYPE,327,false,Κ.Α.Α.Υ. ΑΓ. ΑΝΔΡΕΑ,resort_hotel,ChIJxVvZ5_2CoRQRKoKk2v2djjk,"ΚΑΑΥ Άγιος Ανδρέας, East Attica"
3027,Ωρωπός Άγιοι Απόστολοι Καλάμου,East Attica (mainland),WRONG_PLACE,3608,false,"Άγιοι Απόστολοι,Καλάμου",housing_complex,ChIJQ6THdABvoRQRTWQ1196g3v0,"Ωρωπός Άγιοι Απόστολοι Καλάμου, East Attica"
3029,Ωρωπός Χαλκούτσι,East Attica (mainland),WRONG_PLACE,1792,false,Χαλκούτσι,,ChIJEWQKSI0SoRQR8V39PrI6nq4,"Ωρωπός Χαλκούτσι, East Attica"
84,Βοτσαλωτή Παραλία,Aegina,WRONG_PLACE,5728,false,Solemare beach bar,,ChIJK2dxxY_OoRQRtagp9_e9Ai4,"Βοτσαλωτή Παραλία, Aegina"
88,Παραλία Καμάρες,Aegina,WRONG_TYPE,36,false,Kamares Beach Bar Aegina,bar,ChIJGx3_8mvNoRQRK1raa5ftTBA,"Παραλία Καμάρες, Aegina"
93,Τούρλος,Aegina,WRONG_TYPE,522,false,Τούρλος,island,ChIJX8wUKXHPoRQRPQ5ECr44v9o,"Τούρλος, Aegina"
97,Ξεκοφτή,Agistri,WRONG_TYPE,535,false,Απόνησσος,restaurant,ChIJ5VPzXIQsoBQRHsdtT2dmM40,"Ξεκοφτή, Agistri"
110,Άγιος Νικόλαος,Kythira,WRONG_PLACE,21332,false,Άγιος Νικόλαος Κρασάς,church,ChIJ5bFwJQDpnRQR3LS08FtaNXc,"Άγιος Νικόλαος, Kythira"
111,Καλάμι,Kythira,WRONG_PLACE,14006,false,Καλάμι,natural_feature,ChIJoXS38YnmnRQRNtlCXzRbw2g,"Καλάμι, Kythira"
112,Αμμούτσι,Kythira,WRONG_PLACE,24767,false,Παραλία Φυρή Άμμος,beach,ChIJM2CMHNnCnRQR8h6rHCUtbzw,"Παραλία Αμμούτσι, Kythira"
113,Καλόγεροι,Kythira,WRONG_PLACE,18171,false,Ιερό Προσκύνημα Αγίας Μόνης,place_of_worship,ChIJkXKcNSXcnRQRExx9Cls8pTc,"Καλόγεροι, Kythira"
116,Ῥουτσούνας,Kythira,WRONG_PLACE,21944,false,Σουβλάκι,barbecue_restaurant,ChIJxePE8z3onRQR1BJ-SXkLIuY,"Ῥουτσούνας, Kythira"
119,Αγία Πατρικία,Kythira,WRONG_TYPE,299,false,Αγία Πατρικία,church,ChIJ04ZEDELgnRQRzx1dUlGcGcI,"Αγία Πατρικία, Kythira"
122,Παραλια Καλαμίτσι,Kythira,WRONG_PLACE,9371,false,Παραλία Καλάμι,beach,ChIJh4vz7YnmnRQR3zFyv1jmPUM,"Παραλια Καλαμίτσι, Kythira"
125,Λίμνη (Αγίας Πελαγίας),Kythira,WRONG_PLACE,1829,false,Παραλια Φυρη Αμμος (Αγ. Πελαγία),beach,ChIJI6iggojgnRQR52oiWuR4mcA,"Λίμνη (Αγίας Πελαγίας), Kythira"
127,Παραλία Δίπορος,Kythira,NO_RESULT,,false,,,,"Παραλία Δίπορος, Kythira"
128,Πετρίτης,Kythira,WRONG_PLACE,2850,false,Πετρούνι,,ChIJI1PxmBHhnRQRXVPJaEszmKc,"Πετρίτης, Kythira"
137,Βλυχάδα Ανατολική,Kythira,WRONG_TYPE,422,false,Καλαδί,natural_feature,ChIJEWalGuHcnRQRcqZ789aq8KM,"Βλυχάδα Ανατολική, Kythira"
148,Στενό Αυλάκι,Kythira,WRONG_TYPE,13,false,Στενό Αυλάκι,,ChIJ0SXTdwDDnRQRrO_G8_IhqR0,"Στενό Αυλάκι, Kythira"
151,Ξεροπόταμος,Kythira,WRONG_PLACE,40178,false,Χώρα Κύθηρα,service,ChIJITGgW7LpnRQRJ-C5VkaX1yo,"Ξεροπόταμος, Kythira"
154,Αλυκή,Poros,WRONG_PLACE,156707,false,Αλυκή,,ChIJm7CbXwFvmBQRAF3CdC-9AAo,"Αλυκή, Poros"
163,Μικρό Λαμπρανό,Salamina,WRONG_PLACE,8562,false,ΛΑΜΠΡΑΝΟ ΕΛΛΑΣ Α.Ε.,point_of_interest,ChIJl-aGuRC0oRQRI4dAqb3YEWI,"Μικρό Λαμπρανό, Salamina"
164,Παραλία Αγίου Νικολάου,Salamina,WRONG_PLACE,9330,false,Παραλία Αγίου Νικολάου,beach,ChIJvQBQyKu2oRQRfLEGQ_RVBKo,"Παραλία Αγίου Νικολάου, Salamina"
172,Καμάρες,Spetses,WRONG_PLACE,3474,false,Καΐκι Beach Club,bar,ChIJz9K0zqqkoRQRNf_unx0dL3w,"Καμάρες, Spetses"
178,Ακτή Αγάπης,Methana,WRONG_TYPE,123,false,Ακτή Αγάπης,,ChIJwRrDryqAnxQRyfBhMV4AyvM,"Ακτή Αγάπης, Methana"
179,Παραλία Νισάκι,Methana,WRONG_TYPE,237,false,nisaki rooms & apartments,bed_and_breakfast,ChIJUeNotVJ_nxQRN8qROmZa4ig,"Παραλία Νισάκι, Methana"
180,Βοτσαλάκια,Methana,WRONG_PLACE,11514,false,Παραλία Λιμνιώνα,beach,ChIJMex3zVzVoRQRNMnfnJt4LcM,"Βοτσαλάκια, Methana"
