id,name,regionId,island,verdict,recommend,query,nameStatus,nameQuery,nameHit,nameDistM,nameScore,pinHit,pinDistM,flags,lat,lon
1981,Αγία Άννα,south-aegean-naxos,Naxos,PASS,none,"Παραλία Αγίας Άννας, Naxos",verified,"Παραλία Αγίας Άννας, Naxos",Παραλία Αγίας Άννας,41,35,Παραλία Αγίας Άννας,0,,37.0689603,25.3544164
1982,Αγιασσός,south-aegean-naxos,Naxos,PASS,none,"Agiasos Beach, Naxos",verified,"Agiasos Beach, Naxos",Agiasos Beach,60,35,Agiasos Beach,0,,36.96577,25.42525
1987,Αλυκό,south-aegean-naxos,Naxos,PASS,none,"Αλυκό, Naxos",verified,"Αλυκό, Naxos",Aliko (Alyko) Beach,60,35,Aliko (Alyko) Beach,0,,36.978496,25.3901518
1988,Αμμίτης,south-aegean-naxos,Naxos,REVIEW,coordinates,"Παραλία Αμίτης, Naxos",needs_review,"Παραλία Αμίτης, Naxos",Παραλία Αμίτης,51,0,Παραλία Αμίτης,0,weak_name_match,37.1363228,25.4360475
1989,Άμπραμ,south-aegean-naxos,Naxos,PASS,none,"Άμπραμ, Naxos",verified,"Άμπραμ, Naxos",Παραλία Αμπραμ,52,35,Παραλία Αμπραμ,0,,37.1734014,25.4799167
1991,Βίντζι,south-aegean-naxos,Naxos,REVIEW,coordinates,"Βίντσι, Naxos",needs_review,"Βίντσι, Naxos",Βίντσι,4,0,Βίντσι,0,weak_name_match,37.1080152,25.3741037
1992,Γλατζά,south-aegean-naxos,Naxos,PASS,none,"Γλατζά, Naxos",verified,"Γλατζά, Naxos",Παραλία Γλατζά,28,35,Παραλία Γλατζά,0,,37.1373729,25.4395072
1995,Παραλία Καλαντός,south-aegean-naxos,Naxos,PASS,none,"Παραλία Καλαντός, Naxos",verified,"Παραλία Καλαντός, Naxos",Παραλία Καλαντός,168,35,Παραλία Καλαντός,0,,36.93636,25.47184
2000,Παραλία Κλειδώ,south-aegean-naxos,Naxos,PASS,none,"Παραλία Κλειδώ, Naxos",verified,"Παραλία Κλειδώ, Naxos",Παραλία Κλειδώ,18,35,Παραλία Κλειδώ,0,,36.9870224,25.559867
2001,Λιγαρίδια,south-aegean-naxos,Naxos,REVIEW,coordinates,"Liaridia Beach, Naxos",needs_review,"Liaridia Beach, Naxos",Liaridia Beach,0,0,Liaridia Beach,0,weak_name_match,37.07514,25.58479
2002,Παραλία Λιμνάρι,south-aegean-naxos,Naxos,PASS,none,"Παραλία Λιμνάρι, Naxos",verified,"Παραλία Λιμνάρι, Naxos",Παραλία Λιμνάρι,3,35,Παραλία Λιμνάρι,0,,37.12539,25.5913
2003,Λίωνας,south-aegean-naxos,Naxos,PASS,none,"Λίωνας, Naxos",verified,"Λίωνας, Naxos",Λίωνας,40,35,Λίωνας,0,,37.13763,25.58656
2004,Μελινό,south-aegean-naxos,Naxos,PASS,none,"Μελινό, Naxos",verified,"Μελινό, Naxos",Μελινό,25,35,Μελινό,1,,37.19107,25.50454
2007,Μικρή Βίγλα - Νότια πλευρά,south-aegean-naxos,Naxos,PASS,none,"Μικρή Βίγλα - Νότια πλευρά, Naxos",verified,"Μικρή Βίγλα - Νότια πλευρά, Naxos",Μικρή Βίγλα (Νότια πλευρά),94,35,Μικρή Βίγλα (Νότια πλευρά),0,,37.0157838,25.3769012
2008,Μικρό Αλυκό,south-aegean-naxos,Naxos,PASS,none,"Paralia Alyko, Naxos",verified,"Paralia Alyko, Naxos",Paralia Alyko,18,35,Paralia Alyko,0,,36.9767717,25.3865821
2009,Μουτσούνα,south-aegean-naxos,Naxos,PASS,none,"Μουτσούνα, Naxos",verified,"Μουτσούνα, Naxos",Μουτσούνα,85,35,(unnamed),11,,37.0779637,25.5869804
2010,Όρκος,south-aegean-naxos,Naxos,PASS,none,"Orkos, Naxos",verified,"Orkos, Naxos",Orkos,9,35,Orkos,0,,37.0325297,25.3731885
2013,Πυργάκι,south-aegean-naxos,Naxos,PASS,none,"Pyrgaki Beach, Naxos",verified,"Pyrgaki Beach, Naxos",Pyrgaki Beach,222,35,Pyrgaki Beach,3,,36.97623,25.40015
2015,Παραλία Σπεδό,south-aegean-naxos,Naxos,PASS,none,"Παραλία Σπεδό, Naxos",verified,"Παραλία Σπεδό, Naxos",Παραλία Σπεδό,15,35,Παραλία Σπεδό,1,,36.95472,25.50782
2016,Χίλια Βρύση,south-aegean-naxos,Naxos,PASS,none,"Hilia Beach, Naxos",verified,"Hilia Beach, Naxos",Hilia Beach,10,35,Hilia Beach,0,,37.1567643,25.4694392
