beachId,region,beach,tier,showerCount,nearestM,osmUrls
576,"Crete","Σεϊτάν Λιμάνι",high,1,1,"https://www.openstreetmap.org/node/6026046487"
1517,"Peloponnese","Παραλία Ξηροπήγαδου",high,1,4,"https://www.openstreetmap.org/node/12101989986"
1644,"Peloponnese","Παραλία Φονέας",high,1,10,"https://www.openstreetmap.org/node/13072249172"
1010,"Ionian Islands","Παραλία Χαλικούνα",high,1,12,"https://www.openstreetmap.org/node/13103541888"
2407,"South Aegean","Παραλία Καλλιθέας (Oasis)",high,1,13,"https://www.openstreetmap.org/node/11193060869"
1488,"Peloponnese","Παραλία Κιβερίου",high,5,13,"https://www.openstreetmap.org/node/9795205440 https://www.openstreetmap.org/node/9795205437 https://www.openstreetmap.org/node/9795205434 https://www.openstreetmap.org/node/9795205433 https://www.openstreetmap.org/node/9794112120"
2414,"South Aegean","Παραλία Άντονι Κουίν",high,3,14,"https://www.openstreetmap.org/node/8946779618 https://www.openstreetmap.org/node/8946776234 https://www.openstreetmap.org/node/8946778722"
570,"Crete","Παραλία Ψηλός Βόλακας",high,1,15,"https://www.openstreetmap.org/node/10210228158"
3050,"West Greece","ΠΔΕ Μακύνεια",high,1,16,"https://www.openstreetmap.org/node/9773097025"
362,"Central Greece","Παραλία Αγίου Γεωργίου Πελασγίας",high,1,16,"https://www.openstreetmap.org/node/9509035759"
2408,"South Aegean","Παραλία Καλλιθέας (Tassos)",high,3,17,"https://www.openstreetmap.org/node/8940644728 https://www.openstreetmap.org/node/8940697951 https://www.openstreetmap.org/node/8940678094"
721,"Crete","Άμμος Αγίου Νικολάου",high,1,18,"https://www.openstreetmap.org/node/1278885091"
2112,"South Aegean","Φάρος",high,1,18,"https://www.openstreetmap.org/node/9944276808"
688,"Crete","Μικρό Αμμούδι",high,2,19,"https://www.openstreetmap.org/node/3366664102 https://www.openstreetmap.org/node/11226578561"
2677,"Thessaly","Αλυκές (Βόλος)",high,4,19,"https://www.openstreetmap.org/node/6173439459 https://www.openstreetmap.org/node/6173439458 https://www.openstreetmap.org/node/6173439457 https://www.openstreetmap.org/node/6173439456"
796,"East Macedonia and Thrace","Ψάθα",high,1,19,"https://www.openstreetmap.org/node/3650130240"
676,"Crete","Βλυχί Νερό",high,5,20,"https://www.openstreetmap.org/node/4849809051 https://www.openstreetmap.org/node/4849809052 https://www.openstreetmap.org/node/4849809050 https://www.openstreetmap.org/node/4850515482 https://www.openstreetmap.org/node/4849809053"
2107,"South Aegean","Σεράλια",high,1,20,"https://www.openstreetmap.org/node/9944328797"
